57           # Te(keV)	q	r	s	t	u	v	w
0.20    3.38E-18   1.50E-18   1.06E-18   7.22E-19   1.07E-18   5.34E-19   1.60E-18
0.25    6.89E-17   3.05E-17   2.08E-17   1.44E-17   2.04E-17   1.01E-17   3.03E-17
0.30    5.10E-16   2.25E-16   1.48E-16   1.04E-16   1.42E-16   7.05E-17   2.11E-16
0.35    2.12E-15   9.34E-16   5.95E-16   4.24E-16   5.59E-16   2.77E-16   8.29E-16
0.40    6.14E-15   2.70E-15   1.67E-15   1.21E-15   1.54E-15   7.64E-16   2.28E-15
0.45    1.40E-14   6.16E-15   3.69E-15   2.70E-15   3.36E-15   1.66E-15   4.97E-15
0.50    2.71E-14   1.19E-14   6.91E-15   5.13E-15   6.20E-15   3.07E-15   9.18E-15
0.55    4.63E-14   2.03E-14   1.15E-14   8.64E-15   1.02E-14   5.04E-15   1.51E-14
0.60    7.24E-14   3.17E-14   1.74E-14   1.33E-14   1.53E-14   7.56E-15   2.26E-14
0.65    1.06E-13   4.62E-14   2.47E-14   1.91E-14   2.15E-14   1.06E-14   3.17E-14
0.70    1.46E-13   6.37E-14   3.33E-14   2.60E-14   2.86E-14   1.41E-14   4.21E-14
0.75    1.93E-13   8.41E-14   4.29E-14   3.39E-14   3.64E-14   1.80E-14   5.37E-14
0.80    2.46E-13   1.07E-13   5.34E-14   4.28E-14   4.49E-14   2.22E-14   6.62E-14
0.85    3.05E-13   1.33E-13   6.47E-14   5.24E-14   5.39E-14   2.66E-14   7.93E-14
0.90    3.70E-13   1.61E-13   7.65E-14   6.27E-14   6.32E-14   3.11E-14   9.29E-14
0.95    4.38E-13   1.91E-13   8.88E-14   7.35E-14   7.26E-14   3.58E-14   1.07E-13
1.00    5.11E-13   2.22E-13   1.01E-13   8.48E-14   8.21E-14   4.05E-14   1.21E-13
1.05    5.88E-13   2.55E-13   1.14E-13   9.64E-14   9.16E-14   4.51E-14   1.34E-13
1.10    6.67E-13   2.89E-13   1.27E-13   1.08E-13   1.01E-13   4.97E-14   1.48E-13
1.15    7.48E-13   3.24E-13   1.39E-13   1.20E-13   1.10E-13   5.42E-14   1.61E-13
1.20    8.32E-13   3.60E-13   1.52E-13   1.33E-13   1.19E-13   5.85E-14   1.74E-13
1.25    9.16E-13   3.97E-13   1.64E-13   1.45E-13   1.28E-13   6.27E-14   1.87E-13
1.30    1.00E-12   4.34E-13   1.77E-13   1.57E-13   1.36E-13   6.68E-14   1.99E-13
1.35    1.09E-12   4.71E-13   1.88E-13   1.69E-13   1.44E-13   7.07E-14   2.10E-13
1.40    1.18E-12   5.08E-13   2.00E-13   1.81E-13   1.52E-13   7.44E-14   2.21E-13
1.45    1.26E-12   5.46E-13   2.11E-13   1.93E-13   1.59E-13   7.80E-14   2.32E-13
1.50    1.35E-12   5.83E-13   2.22E-13   2.05E-13   1.66E-13   8.14E-14   2.42E-13
1.55    1.44E-12   6.21E-13   2.33E-13   2.17E-13   1.73E-13   8.46E-14   2.51E-13
1.60    1.53E-12   6.58E-13   2.44E-13   2.29E-13   1.79E-13   8.76E-14   2.60E-13
1.65    1.61E-12   6.95E-13   2.53E-13   2.40E-13   1.85E-13   9.04E-14   2.68E-13
1.70    1.70E-12   7.32E-13   2.63E-13   2.51E-13   1.90E-13   9.31E-14   2.76E-13
1.75    1.78E-12   7.68E-13   2.72E-13   2.62E-13   1.96E-13   9.56E-14   2.84E-13
1.80    1.87E-12   8.04E-13   2.82E-13   2.73E-13   2.00E-13   9.80E-14   2.91E-13
1.85    1.95E-12   8.40E-13   2.90E-13   2.84E-13   2.05E-13   1.00E-13   2.97E-13
1.90    2.03E-12   8.75E-13   2.98E-13   2.94E-13   2.09E-13   1.02E-13   3.03E-13
1.95    2.12E-12   9.10E-13   3.06E-13   3.04E-13   2.13E-13   1.04E-13   3.09E-13
2.00    2.20E-12   9.44E-13   3.14E-13   3.14E-13   2.17E-13   1.06E-13   3.14E-13
2.10    2.35E-12   1.01E-12   3.29E-13   3.33E-13   2.24E-13   1.09E-13   3.23E-13
2.20    2.51E-12   1.08E-12   3.42E-13   3.52E-13   2.30E-13   1.12E-13   3.31E-13
2.30    2.66E-12   1.14E-12   3.54E-13   3.69E-13   2.35E-13   1.14E-13   3.37E-13
2.40    2.80E-12   1.20E-12   3.66E-13   3.86E-13   2.39E-13   1.16E-13   3.43E-13
2.50    2.94E-12   1.26E-12   3.76E-13   4.02E-13   2.42E-13   1.18E-13   3.47E-13
2.60    3.08E-12   1.32E-12   3.86E-13   4.18E-13   2.45E-13   1.19E-13   3.51E-13
2.70    3.21E-12   1.37E-12   3.95E-13   4.32E-13   2.47E-13   1.20E-13   3.53E-13
2.80    3.33E-12   1.43E-12   4.04E-13   4.46E-13   2.49E-13   1.21E-13   3.55E-13
2.90    3.45E-12   1.48E-12   4.11E-13   4.60E-13   2.51E-13   1.21E-13   3.57E-13
3.00    3.57E-12   1.53E-12   4.18E-13   4.73E-13   2.52E-13   1.21E-13   3.57E-13
3.10    3.68E-12   1.58E-12   4.25E-13   4.85E-13   2.52E-13   1.22E-13   3.58E-13
3.20    3.80E-12   1.62E-12   4.31E-13   4.96E-13   2.53E-13   1.22E-13   3.58E-13
3.30    3.90E-12   1.67E-12   4.36E-13   5.08E-13   2.53E-13   1.21E-13   3.57E-13
3.40    4.00E-12   1.71E-12   4.42E-13   5.18E-13   2.53E-13   1.21E-13   3.56E-13
3.50    4.10E-12   1.75E-12   4.46E-13   5.29E-13   2.52E-13   1.21E-13   3.55E-13
3.60    4.20E-12   1.79E-12   4.51E-13   5.39E-13   2.52E-13   1.21E-13   3.53E-13
3.70    4.29E-12   1.83E-12   4.55E-13   5.48E-13   2.51E-13   1.20E-13   3.52E-13
3.80    4.38E-12   1.87E-12   4.59E-13   5.57E-13   2.50E-13   1.19E-13   3.50E-13
3.90    4.47E-12   1.90E-12   4.62E-13   5.66E-13   2.49E-13   1.19E-13   3.48E-13
4.00    4.55E-12   1.94E-12   4.66E-13   5.74E-13   2.48E-13   1.18E-13   3.45E-13

