20      W           X           Y           Z
0.20    8.78E-13    7.42E-13    9.38E-13    2.30E-12
0.40    4.95E-13    4.07E-13    5.14E-13    1.35E-12
0.60    4.04E-13    2.89E-13    3.64E-13    9.96E-13
0.80    3.82E-13    2.31E-13    2.89E-13    8.25E-13
1.00    3.75E-13    1.97E-13    2.47E-13    7.30E-13
1.20    3.83E-13    1.81E-13    2.26E-13    6.89E-13
1.40    3.63E-13    1.59E-13    1.98E-13    6.18E-13
1.60    3.52E-13    1.46E-13    1.82E-13    5.77E-13
1.80    3.33E-13    1.32E-13    1.66E-13    5.33E-13
2.00    3.15E-13    1.22E-13    1.53E-13    4.98E-13
2.20    2.98E-13    1.13E-13    1.41E-13    4.65E-13
2.40    2.88E-13    1.07E-13    1.34E-13    4.43E-13
2.60    2.72E-13    9.94E-14    1.25E-13    4.17E-13
2.80    2.58E-13    9.32E-14    1.17E-13    3.94E-13
3.00    2.44E-13    8.70E-14    1.09E-13    3.71E-13
3.20    2.35E-13    8.31E-14    1.04E-13    3.56E-13
3.40    2.22E-13    7.79E-14    9.79E-14    3.36E-13
3.60    2.11E-13    7.39E-14    9.29E-14    3.20E-13
3.80    2.01E-13    6.99E-14    8.79E-14    3.05E-13
4.00    1.93E-13    6.70E-14    8.42E-14    2.93E-13
