39     # Te(keV) W   X   Y  Z  RecTot(cm^3/s)
0.2    4.72327e-08    4.46439e-08    5.67204e-08    1.61749e-07    3.55539e-07
0.3    5.60773e-08    5.30034e-08    6.73411e-08    1.92037e-07    4.22072e-07
0.4    6.32297e-08    5.97632e-08    7.59295e-08    2.16525e-07    4.75862e-07
0.5    6.93784e-08    6.55728e-08    8.33106e-08    2.37555e-07    5.22067e-07
0.6    7.48268e-08    7.07168e-08    8.98461e-08    2.56134e-07    5.62913e-07
0.7    7.97659e-08    7.53725e-08    9.57615e-08    2.72871e-07    5.99764e-07
0.8    8.43323e-08    7.96656e-08    1.01216e-07    2.88186e-07    6.33564e-07
0.9    8.85786e-08    8.36426e-08    1.06270e-07    3.02215e-07    6.64631e-07
1.0    9.25431e-08    8.73373e-08    1.10965e-07    3.15055e-07    6.93192e-07
1.1    9.62805e-08    9.07993e-08    1.15365e-07    3.26862e-07    7.19608e-07
1.2    9.98413e-08    9.40746e-08    1.19528e-07    3.37788e-07    7.44219e-07
1.3    1.03266e-07    9.72002e-08    1.23502e-07    3.47952e-07    7.67300e-07
1.4    1.06589e-07    1.00207e-07    1.27325e-07    3.57458e-07    7.89084e-07
1.5    1.09825e-07    1.03111e-07    1.31018e-07    3.66352e-07    8.09676e-07
1.6    1.12985e-07    1.05919e-07    1.34589e-07    3.74663e-07    8.29142e-07
1.7    1.16075e-07    1.08638e-07    1.38048e-07    3.82423e-07    8.47544e-07
1.8    1.19100e-07    1.11275e-07    1.41402e-07    3.89657e-07    8.64939e-07
1.9    1.22067e-07    1.13836e-07    1.44661e-07    3.96399e-07    8.81392e-07
2.0    1.24982e-07    1.16328e-07    1.47833e-07    4.02683e-07    8.96974e-07
2.1    1.27852e-07    1.18758e-07    1.50926e-07    4.08540e-07    9.11746e-07
2.2    1.30680e-07    1.21130e-07    1.53946e-07    4.13999e-07    9.25766e-07
2.3    1.33470e-07    1.23449e-07    1.56899e-07    4.19091e-07    9.39093e-07
2.4    1.36228e-07    1.25722e-07    1.59793e-07    4.23846e-07    9.51788e-07
2.5    1.38958e-07    1.27953e-07    1.62635e-07    4.28293e-07    9.63908e-07
2.6    1.41662e-07    1.30146e-07    1.65430e-07    4.32460e-07    9.75504e-07
2.7    1.44344e-07    1.32305e-07    1.68180e-07    4.36370e-07    9.86622e-07
2.8    1.47004e-07    1.34433e-07    1.70891e-07    4.40047e-07    9.97303e-07
2.9    1.49645e-07    1.36532e-07    1.73566e-07    4.43511e-07    1.00759e-06
3.0    1.52267e-07    1.38604e-07    1.76207e-07    4.46782e-07    1.01751e-06
3.1    1.54871e-07    1.40651e-07    1.78816e-07    4.49877e-07    1.02710e-06
3.2    1.57459e-07    1.42675e-07    1.81396e-07    4.52811e-07    1.03638e-06
3.3    1.60031e-07    1.44677e-07    1.83949e-07    4.55598e-07    1.04539e-06
3.4    1.62588e-07    1.46659e-07    1.86476e-07    4.58249e-07    1.05414e-06
3.5    1.65129e-07    1.48621e-07    1.88978e-07    4.60776e-07    1.06265e-06
3.6    1.67653e-07    1.50564e-07    1.91455e-07    4.63186e-07    1.07093e-06
3.7    1.70161e-07    1.52487e-07    1.93908e-07    4.65490e-07    1.07900e-06
3.8    1.72652e-07    1.54392e-07    1.96337e-07    4.67697e-07    1.08688e-06
3.9    1.75126e-07    1.56278e-07    1.98742e-07    4.69813e-07    1.09457e-06
4.0    1.77582e-07    1.58145e-07    2.01124e-07    4.71847e-07    1.10209e-06
