32 ! n= 2,3,4 MZ Code, From the ground state 1s^22s(2S1/2) [Li] to [Be] like satellites Wave, Ef, Aa, Ar, We
4.0104  7263423.886 0.15   10.48  0.09  3     1s2s(2)2p(1P1)-1s(2)2s(2)(1S0) n = 2
4.0193  7092826.592 10.55  7.51   5.62  3     1s2s2p(2)(3D1)-1s(2)2s2p(3P0)
4.0246  7096656.596	10.55  1.05   0.79  3     1s2s2p(2)(3D1)-1s(2)2s2p(3P2)
4.0207  7092670.120	13.51  6.51   9.97  5     1s2s2p(2)(3D2)-1s(2)2s2p(3P1)
4.0236  7090471.707	15.32  5.17  12.23  7     1s2s2p(2)(3D3)-1s(2)2s2p(3P2)
4.0187  7080273.227	4.84   6.59   2.43  3     1s2s2p(2)(3P1)-1s(2)2s2p(3P1)
4.0214  7083045.779	4.84   4.59   1.70  3     1s2s2p(2)(3P1)-1s(2)2s2p(3P2)
4.0197  7066321.217	1.91   12.91  3.28  5     1s2s2p(2)(3P2)-1s(2)2s2p(3P2)
4.0018  6975024.359	5.56   1.51   0.86  3     1s2s2p(2)(3S1)-1s(2)2s2p(3P1)
4.0054  6977366.739	5.56   3.08   1.76  3     1s2s2p(2)(3S1)-1s(2)2s2p(3P2)
4.0332  6944471.933	11.31  3.87   3.51  3     1s2s2p(2)(1D2)-1s(2)2s2p(1P1)
4.0293  6920436.417	4.36   1.44   0.67  5     1s2s2p(2)(3P2)-1s(2)2s2p(1P1)
4.0126  6816986.318	6.59   5.53   0.66  1     1s2s2p(2)(1S0)-1s(2)2s2p(1P1)
3.9884	3017480.394	0.69   3.48	  0.60	5	  1s2s2p3d(3F2)-1s(2)2s3d(3D1) n = 3
3.9872	3017480.394 0.71   2.75	  0.71	7	  1s2s2p3d(3F3)-1s(2)2s3d(3D2)
3.9875	3017480.394	0.71   3.97	  1.00	7	  1s2s2p3d(3F3)-1s(2)2s3d(3D3)
3.9857	3017480.394	1.12   8.10	  3.89	9	  1s2s2p3d(3F4)-1s(2)2s3d(3D3)
3.9872	3017480.394	0.62   6.13	  1.20	7	  1s2s2p3d(1F3)-1s(2)2s3d(1D2)
3.9945	3017480.394	1.06   4.13	  0.88	5	  1s2s2p3d(3D2)-1s(2)2s3p(3P1)
3.9929	3017480.394	1.12   6.97	  2.50	7	  1s2s2p3d(3D3)-1s(2)2s3p(3P2)
3.9923	3017480.394	0.37   1.60	  0.79	7	  1s2p(2)3s(5P3)-1s(2)2s3p(3P2)
3.9888	3017480.394	2.50   8.56	  3.54	5	  1s2p(2)3s(1D2)-1s(2)2s3p(1P1)
3.8810	3017480.394	1.93   1.33	  6.00	7	  1s2s2p3p(3D3)-1s(2)2s3p(3P2)
3.9850	1778565.245	0.42   3.73	  0.53	7	1s2s2p4d(3F3)-1s(2)2s4d(3D2)   n=4
3.9851	1778565.245	0.42   4.23	  0.60	7	1s2s2p4d(3F3)-1s(2)2s4d(3D3)
3.9833	1778565.245	0.60   9.50	  2.37	9	1s2s2p4d(3F4)-1s(2)2s4d(3D3)
3.9826	1778565.245	0.73   9.54	  2.20	7	1s2s2p4d(1F3)-1s(2)2s4d(1D2)
3.9871	1778565.245	0.63   4.03	  0.56	5	1s2s2p4d(3D2)-1s(2)2s4d(3P2)
3.9851	1778565.245	0.67   9.55	  1.95	7	1s2s2p4d(3D3)-1s(2)2s4p(3P2)
3.9843	1778565.245	0.59   5.45	  0.96	5	1s2s2p4d(3P2)-1s(2)2s4p(3P1)
3.9841	1778565.245	0.96   3.18	  0.63	5	1s2s2p4d(1D2)-1s(2)2s4p(3P2)
3.9845	1778565.245	0.96   6.75	  1.34	5	1s2s2p4p(1D2)-1s(2)2s4p(1P1)
