sample_idx,cluster
0,3
1,5
2,0
3,3
4,5
5,6
6,6
7,5
8,8
9,5
10,5
11,8
12,8
13,1
14,5
15,3
16,6
17,1
18,5
19,3
20,9
21,9
22,3
23,3
24,9
25,9
26,3
27,9
28,0
29,5
30,1
31,3
32,9
33,9
34,9
35,9
36,0
37,0
38,9
39,9
40,7
41,0
42,0
43,0
44,9
45,5
46,6
47,1
48,6
49,1
50,3
51,1
52,6
53,9
54,4
55,1
56,5
57,5
58,3
59,1
60,3
61,5
62,4
63,0
64,9
65,9
66,0
67,4
68,0
69,5
70,5
71,5
72,3
73,1
74,9
75,6
76,9
77,9
78,9
79,9
80,6
81,9
82,9
83,9
84,9
85,9
86,9
87,9
88,9
89,9
90,9
91,4
92,0
93,0
94,0
95,9
96,9
97,4
98,0
99,0
100,0
101,3
102,9
103,9
104,9
105,9
106,0
107,0
108,0
109,1
110,0
111,0
112,5
113,1
114,3
115,8
116,9
117,8
118,8
119,9
120,8
121,0
122,8
123,4
124,5
125,5
126,3
127,5
128,8
129,6
130,3
131,0
132,8
133,8
134,9
135,7
136,7
137,7
138,4
139,0
140,0
141,7
142,3
143,3
144,5
145,5
146,3
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,5
155,5
156,5
157,1
158,9
159,5
160,5
161,8
162,3
163,9
164,3
165,5
166,1
167,0
168,8
169,8
170,8
171,8
172,1
173,5
174,8
175,8
176,1
177,3
178,3
179,3
180,5
181,0
182,5
183,5
184,0
185,8
186,8
187,7
188,1
189,3
190,2
191,2
192,2
193,3
194,2
195,3
196,4
197,2
198,3
199,2
200,2
201,2
202,2
203,2
204,4
205,4
206,2
207,4
208,4
209,4
210,3
211,1
212,4
213,8
214,7
215,8
216,8
217,3
218,8
219,8
220,8
221,5
222,2
223,4
224,4
225,5
226,4
227,3
228,3
229,3
230,3
231,3
232,3
233,3
234,3
235,1
236,5
237,0
238,3
239,5
240,3
241,3
242,3
243,9
244,9
245,1
246,9
247,0
248,9
249,1
250,3
251,9
252,9
253,0
254,9
255,9
256,9
257,9
258,9
259,1
260,7
261,7
262,7
263,7
264,1
265,6
266,1
267,9
268,9
269,9
270,9
271,9
272,3
273,0
274,9
275,3
276,1
277,8
278,8
279,8
280,8
281,8
282,5
283,6
284,6
285,3
286,3
287,1
288,8
289,8
290,8
291,8
292,5
293,1
294,3
295,3
296,4
297,4
298,8
299,5
300,3
301,4
302,9
303,3
304,2
305,4
306,4
307,4
308,4
309,4
310,3
311,0
312,9
313,4
314,3
315,5
316,3
317,8
318,8
319,0
320,4
321,3
322,7
323,2
324,8
325,8
326,5
