cluster,count,mean_norm,trace_cov
0,46,2.5051957710462016e+20,8.671293683372191e+38
1,40,1.741871580322951e+20,2.7417533331528816e+38
2,13,2.1759359422425435e+20,5.7687412909407884e+38
3,47,1.9029773182863966e+20,3.681867466925923e+38
4,30,2.6502633779192794e+20,9.261761652896424e+38
5,39,1.4476049635921071e+20,3.3447759138649393e+38
6,16,1.9935639603322595e+20,5.017135886184872e+38
7,11,3.22376296424328e+20,2.79629365311221e+39
8,39,1.032009880468819e+20,3.0606688430939986e+38
9,46,2.1780250631302693e+20,4.368454940936336e+38
