sample_index,generation_index,cluster_family_index,ne_cluster,te_cluster,t_idx,t_s
0,0,5,5,5,6,0.1
1,1,3,3,3,6,0.1
2,2,4,4,4,6,0.1
3,3,1,1,1,6,0.1
4,4,8,8,8,6,0.1
5,5,4,4,4,6,0.1
6,6,8,8,8,6,0.1
7,7,3,3,3,6,0.1
8,8,0,0,0,6,0.1
9,9,6,6,6,6,0.1
10,10,7,7,7,6,0.1
11,11,8,8,8,6,0.1
12,12,9,9,9,6,0.1
13,13,1,1,1,6,0.1
14,14,0,0,0,6,0.1
15,15,9,9,9,6,0.1
16,16,9,9,9,6,0.1
17,17,5,5,5,6,0.1
18,18,7,7,7,6,0.1
19,19,4,4,4,6,0.1
20,20,1,1,1,6,0.1
21,21,6,6,6,6,0.1
22,22,4,4,4,6,0.1
23,23,0,0,0,6,0.1
24,24,8,8,8,6,0.1
25,25,6,6,6,6,0.1
26,26,8,8,8,6,0.1
27,27,0,0,0,6,0.1
28,28,8,8,8,6,0.1
29,29,6,6,6,6,0.1
30,30,0,0,0,6,0.1
31,31,5,5,5,6,0.1
32,32,3,3,3,6,0.1
33,33,0,0,0,6,0.1
34,34,5,5,5,6,0.1
35,35,9,9,9,6,0.1
36,36,0,0,0,6,0.1
37,37,8,8,8,6,0.1
38,38,4,4,4,6,0.1
39,39,4,4,4,6,0.1
40,40,3,3,3,6,0.1
41,41,2,2,2,6,0.1
42,42,9,9,9,6,0.1
43,43,2,2,2,6,0.1
44,44,0,0,0,6,0.1
45,45,2,2,2,6,0.1
46,46,1,1,1,6,0.1
47,47,1,1,1,6,0.1
48,48,0,0,0,6,0.1
49,49,3,3,3,6,0.1
50,50,4,4,4,6,0.1
51,51,2,2,2,6,0.1
52,52,6,6,6,6,0.1
53,53,4,4,4,6,0.1
54,54,6,6,6,6,0.1
55,55,2,2,2,6,0.1
56,56,5,5,5,6,0.1
57,57,6,6,6,6,0.1
58,58,1,1,1,6,0.1
59,59,8,8,8,6,0.1
60,60,9,9,9,6,0.1
61,61,4,4,4,6,0.1
62,62,4,4,4,6,0.1
63,63,6,6,6,6,0.1
64,64,6,6,6,6,0.1
65,65,1,1,1,6,0.1
66,66,5,5,5,6,0.1
67,67,6,6,6,6,0.1
68,68,9,9,9,6,0.1
69,69,9,9,9,6,0.1
70,70,4,4,4,6,0.1
71,71,0,0,0,6,0.1
72,72,0,0,0,6,0.1
73,73,8,8,8,6,0.1
74,74,1,1,1,6,0.1
75,75,8,8,8,6,0.1
76,76,1,1,1,6,0.1
77,77,4,4,4,6,0.1
78,78,6,6,6,6,0.1
79,79,7,7,7,6,0.1
80,80,9,9,9,6,0.1
81,81,9,9,9,6,0.1
82,82,9,9,9,6,0.1
83,83,3,3,3,6,0.1
84,84,8,8,8,6,0.1
85,85,3,3,3,6,0.1
86,86,9,9,9,6,0.1
87,87,6,6,6,6,0.1
88,88,4,4,4,6,0.1
89,89,5,5,5,6,0.1
90,90,6,6,6,6,0.1
91,91,0,0,0,6,0.1
92,92,2,2,2,6,0.1
93,93,9,9,9,6,0.1
94,94,0,0,0,6,0.1
95,95,5,5,5,6,0.1
96,96,8,8,8,6,0.1
97,97,5,5,5,6,0.1
98,98,3,3,3,6,0.1
99,99,8,8,8,6,0.1
100,100,2,2,2,6,0.1
101,101,5,5,5,6,0.1
102,102,8,8,8,6,0.1
103,103,3,3,3,6,0.1
104,104,8,8,8,6,0.1
105,105,9,9,9,6,0.1
106,106,8,8,8,6,0.1
107,107,9,9,9,6,0.1
