expanded_index,source_sample_index,equilibrium_index,equilibrium_label,pulse,t_s
0,0,0,p11419_20to160ms,11419,0.020228898152709007
1,0,0,p11419_20to160ms,11419,0.050672389566898346
2,0,0,p11419_20to160ms,11419,0.08002861589193344
3,0,0,p11419_20to160ms,11419,0.10286123305559158
4,0,0,p11419_20to160ms,11419,0.12732474505901337
5,0,0,p11419_20to160ms,11419,0.1583118736743927
6,0,1,p14606_15to80ms,14606,0.015336195006966591
7,0,1,p14606_15to80ms,14606,0.027839770540595055
8,0,1,p14606_15to80ms,14606,0.040886979550123215
9,0,1,p14606_15to80ms,14606,0.05339055880904198
10,0,1,p14606_15to80ms,14606,0.06643776595592499
11,0,1,p14606_15to80ms,14606,0.0794849768280983
12,1,0,p11419_20to160ms,11419,0.020228898152709007
13,1,0,p11419_20to160ms,11419,0.050672389566898346
14,1,0,p11419_20to160ms,11419,0.08002861589193344
15,1,0,p11419_20to160ms,11419,0.10286123305559158
16,1,0,p11419_20to160ms,11419,0.12732474505901337
17,1,0,p11419_20to160ms,11419,0.1583118736743927
18,1,1,p14606_15to80ms,14606,0.015336195006966591
19,1,1,p14606_15to80ms,14606,0.027839770540595055
20,1,1,p14606_15to80ms,14606,0.040886979550123215
21,1,1,p14606_15to80ms,14606,0.05339055880904198
22,1,1,p14606_15to80ms,14606,0.06643776595592499
23,1,1,p14606_15to80ms,14606,0.0794849768280983
24,2,0,p11419_20to160ms,11419,0.020228898152709007
25,2,0,p11419_20to160ms,11419,0.050672389566898346
26,2,0,p11419_20to160ms,11419,0.08002861589193344
27,2,0,p11419_20to160ms,11419,0.10286123305559158
28,2,0,p11419_20to160ms,11419,0.12732474505901337
29,2,0,p11419_20to160ms,11419,0.1583118736743927
30,2,1,p14606_15to80ms,14606,0.015336195006966591
31,2,1,p14606_15to80ms,14606,0.027839770540595055
32,2,1,p14606_15to80ms,14606,0.040886979550123215
33,2,1,p14606_15to80ms,14606,0.05339055880904198
34,2,1,p14606_15to80ms,14606,0.06643776595592499
35,2,1,p14606_15to80ms,14606,0.0794849768280983
36,3,0,p11419_20to160ms,11419,0.020228898152709007
37,3,0,p11419_20to160ms,11419,0.050672389566898346
38,3,0,p11419_20to160ms,11419,0.08002861589193344
39,3,0,p11419_20to160ms,11419,0.10286123305559158
40,3,0,p11419_20to160ms,11419,0.12732474505901337
41,3,0,p11419_20to160ms,11419,0.1583118736743927
42,3,1,p14606_15to80ms,14606,0.015336195006966591
43,3,1,p14606_15to80ms,14606,0.027839770540595055
44,3,1,p14606_15to80ms,14606,0.040886979550123215
45,3,1,p14606_15to80ms,14606,0.05339055880904198
46,3,1,p14606_15to80ms,14606,0.06643776595592499
47,3,1,p14606_15to80ms,14606,0.0794849768280983
48,4,0,p11419_20to160ms,11419,0.020228898152709007
49,4,0,p11419_20to160ms,11419,0.050672389566898346
50,4,0,p11419_20to160ms,11419,0.08002861589193344
51,4,0,p11419_20to160ms,11419,0.10286123305559158
52,4,0,p11419_20to160ms,11419,0.12732474505901337
53,4,0,p11419_20to160ms,11419,0.1583118736743927
54,4,1,p14606_15to80ms,14606,0.015336195006966591
55,4,1,p14606_15to80ms,14606,0.027839770540595055
56,4,1,p14606_15to80ms,14606,0.040886979550123215
57,4,1,p14606_15to80ms,14606,0.05339055880904198
58,4,1,p14606_15to80ms,14606,0.06643776595592499
59,4,1,p14606_15to80ms,14606,0.0794849768280983
60,5,0,p11419_20to160ms,11419,0.020228898152709007
61,5,0,p11419_20to160ms,11419,0.050672389566898346
62,5,0,p11419_20to160ms,11419,0.08002861589193344
63,5,0,p11419_20to160ms,11419,0.10286123305559158
64,5,0,p11419_20to160ms,11419,0.12732474505901337
65,5,0,p11419_20to160ms,11419,0.1583118736743927
66,5,1,p14606_15to80ms,14606,0.015336195006966591
67,5,1,p14606_15to80ms,14606,0.027839770540595055
68,5,1,p14606_15to80ms,14606,0.040886979550123215
69,5,1,p14606_15to80ms,14606,0.05339055880904198
70,5,1,p14606_15to80ms,14606,0.06643776595592499
71,5,1,p14606_15to80ms,14606,0.0794849768280983
72,6,0,p11419_20to160ms,11419,0.020228898152709007
73,6,0,p11419_20to160ms,11419,0.050672389566898346
74,6,0,p11419_20to160ms,11419,0.08002861589193344
75,6,0,p11419_20to160ms,11419,0.10286123305559158
76,6,0,p11419_20to160ms,11419,0.12732474505901337
77,6,0,p11419_20to160ms,11419,0.1583118736743927
78,6,1,p14606_15to80ms,14606,0.015336195006966591
79,6,1,p14606_15to80ms,14606,0.027839770540595055
80,6,1,p14606_15to80ms,14606,0.040886979550123215
81,6,1,p14606_15to80ms,14606,0.05339055880904198
82,6,1,p14606_15to80ms,14606,0.06643776595592499
83,6,1,p14606_15to80ms,14606,0.0794849768280983
84,7,0,p11419_20to160ms,11419,0.020228898152709007
85,7,0,p11419_20to160ms,11419,0.050672389566898346
86,7,0,p11419_20to160ms,11419,0.08002861589193344
87,7,0,p11419_20to160ms,11419,0.10286123305559158
88,7,0,p11419_20to160ms,11419,0.12732474505901337
89,7,0,p11419_20to160ms,11419,0.1583118736743927
90,7,1,p14606_15to80ms,14606,0.015336195006966591
91,7,1,p14606_15to80ms,14606,0.027839770540595055
92,7,1,p14606_15to80ms,14606,0.040886979550123215
93,7,1,p14606_15to80ms,14606,0.05339055880904198
94,7,1,p14606_15to80ms,14606,0.06643776595592499
95,7,1,p14606_15to80ms,14606,0.0794849768280983
96,8,0,p11419_20to160ms,11419,0.020228898152709007
97,8,0,p11419_20to160ms,11419,0.050672389566898346
98,8,0,p11419_20to160ms,11419,0.08002861589193344
99,8,0,p11419_20to160ms,11419,0.10286123305559158
100,8,0,p11419_20to160ms,11419,0.12732474505901337
101,8,0,p11419_20to160ms,11419,0.1583118736743927
102,8,1,p14606_15to80ms,14606,0.015336195006966591
103,8,1,p14606_15to80ms,14606,0.027839770540595055
104,8,1,p14606_15to80ms,14606,0.040886979550123215
105,8,1,p14606_15to80ms,14606,0.05339055880904198
106,8,1,p14606_15to80ms,14606,0.06643776595592499
107,8,1,p14606_15to80ms,14606,0.0794849768280983
108,9,0,p11419_20to160ms,11419,0.020228898152709007
109,9,0,p11419_20to160ms,11419,0.050672389566898346
110,9,0,p11419_20to160ms,11419,0.08002861589193344
111,9,0,p11419_20to160ms,11419,0.10286123305559158
112,9,0,p11419_20to160ms,11419,0.12732474505901337
113,9,0,p11419_20to160ms,11419,0.1583118736743927
114,9,1,p14606_15to80ms,14606,0.015336195006966591
115,9,1,p14606_15to80ms,14606,0.027839770540595055
116,9,1,p14606_15to80ms,14606,0.040886979550123215
117,9,1,p14606_15to80ms,14606,0.05339055880904198
118,9,1,p14606_15to80ms,14606,0.06643776595592499
119,9,1,p14606_15to80ms,14606,0.0794849768280983
120,10,0,p11419_20to160ms,11419,0.020228898152709007
121,10,0,p11419_20to160ms,11419,0.050672389566898346
122,10,0,p11419_20to160ms,11419,0.08002861589193344
123,10,0,p11419_20to160ms,11419,0.10286123305559158
124,10,0,p11419_20to160ms,11419,0.12732474505901337
125,10,0,p11419_20to160ms,11419,0.1583118736743927
126,10,1,p14606_15to80ms,14606,0.015336195006966591
127,10,1,p14606_15to80ms,14606,0.027839770540595055
128,10,1,p14606_15to80ms,14606,0.040886979550123215
129,10,1,p14606_15to80ms,14606,0.05339055880904198
130,10,1,p14606_15to80ms,14606,0.06643776595592499
131,10,1,p14606_15to80ms,14606,0.0794849768280983
132,11,0,p11419_20to160ms,11419,0.020228898152709007
133,11,0,p11419_20to160ms,11419,0.050672389566898346
134,11,0,p11419_20to160ms,11419,0.08002861589193344
135,11,0,p11419_20to160ms,11419,0.10286123305559158
136,11,0,p11419_20to160ms,11419,0.12732474505901337
137,11,0,p11419_20to160ms,11419,0.1583118736743927
138,11,1,p14606_15to80ms,14606,0.015336195006966591
139,11,1,p14606_15to80ms,14606,0.027839770540595055
140,11,1,p14606_15to80ms,14606,0.040886979550123215
141,11,1,p14606_15to80ms,14606,0.05339055880904198
142,11,1,p14606_15to80ms,14606,0.06643776595592499
143,11,1,p14606_15to80ms,14606,0.0794849768280983
144,12,0,p11419_20to160ms,11419,0.020228898152709007
145,12,0,p11419_20to160ms,11419,0.050672389566898346
146,12,0,p11419_20to160ms,11419,0.08002861589193344
147,12,0,p11419_20to160ms,11419,0.10286123305559158
148,12,0,p11419_20to160ms,11419,0.12732474505901337
149,12,0,p11419_20to160ms,11419,0.1583118736743927
150,12,1,p14606_15to80ms,14606,0.015336195006966591
151,12,1,p14606_15to80ms,14606,0.027839770540595055
152,12,1,p14606_15to80ms,14606,0.040886979550123215
153,12,1,p14606_15to80ms,14606,0.05339055880904198
154,12,1,p14606_15to80ms,14606,0.06643776595592499
155,12,1,p14606_15to80ms,14606,0.0794849768280983
156,13,0,p11419_20to160ms,11419,0.020228898152709007
157,13,0,p11419_20to160ms,11419,0.050672389566898346
158,13,0,p11419_20to160ms,11419,0.08002861589193344
159,13,0,p11419_20to160ms,11419,0.10286123305559158
160,13,0,p11419_20to160ms,11419,0.12732474505901337
161,13,0,p11419_20to160ms,11419,0.1583118736743927
162,13,1,p14606_15to80ms,14606,0.015336195006966591
163,13,1,p14606_15to80ms,14606,0.027839770540595055
164,13,1,p14606_15to80ms,14606,0.040886979550123215
165,13,1,p14606_15to80ms,14606,0.05339055880904198
166,13,1,p14606_15to80ms,14606,0.06643776595592499
167,13,1,p14606_15to80ms,14606,0.0794849768280983
168,14,0,p11419_20to160ms,11419,0.020228898152709007
169,14,0,p11419_20to160ms,11419,0.050672389566898346
170,14,0,p11419_20to160ms,11419,0.08002861589193344
171,14,0,p11419_20to160ms,11419,0.10286123305559158
172,14,0,p11419_20to160ms,11419,0.12732474505901337
173,14,0,p11419_20to160ms,11419,0.1583118736743927
174,14,1,p14606_15to80ms,14606,0.015336195006966591
175,14,1,p14606_15to80ms,14606,0.027839770540595055
176,14,1,p14606_15to80ms,14606,0.040886979550123215
177,14,1,p14606_15to80ms,14606,0.05339055880904198
178,14,1,p14606_15to80ms,14606,0.06643776595592499
179,14,1,p14606_15to80ms,14606,0.0794849768280983
180,15,0,p11419_20to160ms,11419,0.020228898152709007
181,15,0,p11419_20to160ms,11419,0.050672389566898346
182,15,0,p11419_20to160ms,11419,0.08002861589193344
183,15,0,p11419_20to160ms,11419,0.10286123305559158
184,15,0,p11419_20to160ms,11419,0.12732474505901337
185,15,0,p11419_20to160ms,11419,0.1583118736743927
186,15,1,p14606_15to80ms,14606,0.015336195006966591
187,15,1,p14606_15to80ms,14606,0.027839770540595055
188,15,1,p14606_15to80ms,14606,0.040886979550123215
189,15,1,p14606_15to80ms,14606,0.05339055880904198
190,15,1,p14606_15to80ms,14606,0.06643776595592499
191,15,1,p14606_15to80ms,14606,0.0794849768280983
192,16,0,p11419_20to160ms,11419,0.020228898152709007
193,16,0,p11419_20to160ms,11419,0.050672389566898346
194,16,0,p11419_20to160ms,11419,0.08002861589193344
195,16,0,p11419_20to160ms,11419,0.10286123305559158
196,16,0,p11419_20to160ms,11419,0.12732474505901337
197,16,0,p11419_20to160ms,11419,0.1583118736743927
198,16,1,p14606_15to80ms,14606,0.015336195006966591
199,16,1,p14606_15to80ms,14606,0.027839770540595055
200,16,1,p14606_15to80ms,14606,0.040886979550123215
201,16,1,p14606_15to80ms,14606,0.05339055880904198
202,16,1,p14606_15to80ms,14606,0.06643776595592499
203,16,1,p14606_15to80ms,14606,0.0794849768280983
204,17,0,p11419_20to160ms,11419,0.020228898152709007
205,17,0,p11419_20to160ms,11419,0.050672389566898346
206,17,0,p11419_20to160ms,11419,0.08002861589193344
207,17,0,p11419_20to160ms,11419,0.10286123305559158
208,17,0,p11419_20to160ms,11419,0.12732474505901337
209,17,0,p11419_20to160ms,11419,0.1583118736743927
210,17,1,p14606_15to80ms,14606,0.015336195006966591
211,17,1,p14606_15to80ms,14606,0.027839770540595055
212,17,1,p14606_15to80ms,14606,0.040886979550123215
213,17,1,p14606_15to80ms,14606,0.05339055880904198
214,17,1,p14606_15to80ms,14606,0.06643776595592499
215,17,1,p14606_15to80ms,14606,0.0794849768280983
216,18,0,p11419_20to160ms,11419,0.020228898152709007
217,18,0,p11419_20to160ms,11419,0.050672389566898346
