sample_idx,cluster
0,19
1,14
2,14
3,14
4,14
5,14
6,14
7,2
8,2
9,2
10,2
11,2
12,17
13,1
14,13
15,13
16,13
17,13
18,13
19,13
20,13
21,13
22,13
23,13
24,19
25,15
26,10
27,10
28,10
29,10
30,10
31,10
32,10
33,10
34,1
35,1
36,17
37,4
38,16
39,16
40,16
41,16
42,16
43,16
44,8
45,8
46,16
47,16
48,19
49,15
50,2
51,2
52,2
53,2
54,2
55,2
56,2
57,2
58,2
59,2
60,19
61,15
62,1
63,1
64,1
65,1
66,1
67,1
68,13
69,13
70,1
71,1
72,19
73,15
74,10
75,10
76,10
77,10
78,10
79,10
80,10
81,10
82,1
83,1
84,19
85,15
86,11
87,11
88,11
89,11
90,11
91,10
92,10
93,10
94,10
95,10
96,17
97,4
98,16
99,16
100,16
101,16
102,16
103,16
104,8
105,8
106,16
107,16
108,19
109,15
110,9
111,9
112,9
113,9
114,9
115,9
116,9
117,9
118,9
119,9
120,12
121,7
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,19
133,15
134,10
135,10
136,10
137,10
138,10
139,10
140,10
141,10
142,1
143,1
144,17
145,4
146,6
147,6
148,6
149,6
150,6
151,6
152,6
153,13
154,6
155,6
156,17
157,1
158,1
159,13
160,13
161,13
162,13
163,13
164,13
165,13
166,13
167,13
168,17
169,15
170,18
171,18
172,18
173,18
174,18
175,18
176,8
177,8
178,18
179,18
180,19
181,15
182,11
183,11
184,11
185,11
186,11
187,9
188,9
189,9
190,1
191,1
192,19
193,15
194,2
195,2
196,2
197,2
198,2
199,2
200,2
201,2
202,2
203,2
204,19
205,15
206,10
207,10
208,10
209,10
210,10
211,10
212,10
213,10
214,10
215,10
216,17
217,1
218,13
219,13
220,13
221,13
222,13
223,13
224,13
225,13
226,13
227,13
228,19
229,15
230,18
231,18
232,18
233,18
234,18
235,8
236,8
237,8
238,18
239,18
240,19
241,9
242,9
243,9
244,9
245,9
246,9
247,13
248,13
249,13
250,13
251,13
252,17
253,1
254,13
255,13
256,13
257,13
258,13
259,13
260,13
261,13
262,13
263,13
264,17
265,4
266,6
267,6
268,6
269,6
270,6
271,6
272,6
273,8
274,6
275,6
276,19
277,11
278,11
279,11
280,11
281,11
282,11
283,11
284,9
285,9
286,9
287,9
288,19
289,15
290,11
291,11
292,11
293,11
294,11
295,11
296,11
297,9
298,11
299,9
300,19
301,15
302,2
303,18
304,18
305,18
306,10
307,10
308,10
309,10
310,10
311,10
312,19
313,15
314,15
315,10
316,15
317,10
318,10
319,10
320,10
321,10
322,10
323,10
324,17
325,4
326,4
327,6
328,4
329,4
330,4
331,6
332,6
333,6
334,16
335,16
336,19
337,15
338,9
339,9
340,9
341,9
342,9
343,9
344,9
345,9
346,9
347,9
348,17
349,4
350,16
351,6
352,16
353,16
354,16
355,6
356,6
357,8
358,16
359,16
360,17
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,1
369,1
370,1
371,1
372,19
373,14
374,14
375,14
376,14
377,14
378,14
379,2
380,2
381,2
382,2
383,2
384,19
385,15
386,10
387,1
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,1
396,14
397,14
398,14
399,14
400,14
401,14
402,14
403,14
404,14
405,14
406,14
407,14
408,5
409,5
410,5
411,5
412,5
413,5
414,5
415,5
416,5
417,5
418,5
419,5
420,17
421,4
422,6
423,6
424,6
425,6
426,6
427,6
428,6
429,6
430,6
431,6
432,17
433,4
434,16
435,16
436,16
437,16
438,16
439,16
440,8
441,8
442,16
443,16
444,17
445,4
446,6
447,6
448,6
449,6
450,6
451,6
452,6
453,6
454,6
455,6
456,12
457,7
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,17
469,4
470,16
471,16
472,16
473,16
474,16
