sample_idx,cluster
0,17
1,1
2,15
3,15
4,15
5,15
6,15
7,15
8,7
9,7
10,4
11,4
12,19
13,1
14,13
15,13
16,13
17,13
18,13
19,13
20,13
21,13
22,13
23,13
24,19
25,1
26,10
27,11
28,11
29,11
30,11
31,11
32,18
33,18
34,14
35,14
36,17
37,1
38,14
39,4
40,4
41,4
42,4
43,4
44,7
45,7
46,4
47,4
48,19
49,1
50,10
51,10
52,14
53,14
54,14
55,11
56,18
57,18
58,14
59,14
60,19
61,1
62,10
63,10
64,10
65,10
66,11
67,11
68,18
69,18
70,11
71,11
72,19
73,1
74,10
75,10
76,10
77,10
78,10
79,11
80,18
81,18
82,11
83,11
84,17
85,1
86,14
87,14
88,14
89,14
90,14
91,14
92,7
93,7
94,4
95,4
96,17
97,1
98,14
99,14
100,14
101,14
102,14
103,14
104,7
105,7
106,4
107,4
108,19
109,1
110,10
111,10
112,10
113,10
114,10
115,11
116,18
117,18
118,11
119,11
120,17
121,1
122,14
123,14
124,14
125,14
126,14
127,7
128,7
129,7
130,4
131,4
132,19
133,1
134,14
135,14
136,14
137,14
138,14
139,7
140,7
141,7
142,14
143,4
144,17
145,1
146,14
147,14
148,14
149,14
150,14
151,4
152,7
153,7
154,4
155,4
156,19
157,1
158,11
159,11
160,11
161,11
162,11
163,11
164,18
165,18
166,14
167,14
168,12
169,5
170,5
171,5
172,5
173,5
174,5
175,2
176,0
177,0
178,2
179,2
180,19
181,1
182,13
183,13
184,13
185,13
186,13
187,13
188,13
189,13
190,13
191,13
192,19
193,1
194,13
195,13
196,13
197,13
198,13
199,13
200,13
201,13
202,13
203,13
204,19
205,1
206,10
207,10
208,10
209,10
210,10
211,11
212,18
213,18
214,11
215,11
216,19
217,1
218,11
219,11
220,14
221,14
222,14
223,7
224,7
225,7
226,4
227,4
228,19
229,1
230,10
231,11
232,11
233,11
234,11
235,11
236,18
237,18
238,11
239,11
240,17
241,1
242,14
243,14
244,14
245,14
246,14
247,14
248,7
249,7
250,4
251,4
252,17
253,1
254,9
255,9
256,9
257,9
258,9
259,9
260,16
261,16
262,9
263,9
264,17
265,1
266,15
267,15
268,15
269,15
270,15
271,16
272,16
273,16
274,9
275,9
276,19
277,1
278,14
279,14
280,14
281,14
282,14
283,14
284,7
285,7
286,14
287,14
288,12
289,8
290,8
291,8
292,8
293,8
294,8
295,8
296,8
297,8
298,3
299,6
300,19
301,1
302,10
303,10
304,10
305,10
306,10
307,11
308,18
309,18
310,11
311,11
312,12
313,5
314,2
315,2
316,2
317,2
318,2
319,2
320,0
321,0
322,10
323,10
324,12
325,5
326,5
327,5
328,5
329,5
330,5
331,0
332,0
333,0
334,13
335,13
336,12
337,3
338,3
339,3
340,3
341,3
342,3
343,6
344,6
345,6
346,2
347,2
348,19
349,1
350,10
351,10
352,10
353,10
354,11
355,11
356,18
357,18
358,11
359,11
360,17
361,1
362,14
363,14
364,14
365,14
366,14
367,14
368,7
369,7
370,4
371,4
372,17
373,1
