sample_idx,cluster
0,15
1,2
2,19
3,19
4,8
5,19
6,15
7,2
8,18
9,18
10,18
11,18
12,15
13,2
14,19
15,19
16,19
17,19
18,15
19,2
20,19
21,19
22,8
23,19
24,15
25,17
26,14
27,14
28,14
29,14
30,15
31,2
32,18
33,18
34,19
35,18
36,10
37,4
38,16
39,16
40,16
41,1
42,15
43,13
44,13
45,13
46,19
47,13
48,12
49,17
50,3
51,13
52,7
53,13
54,15
55,2
56,19
57,19
58,19
59,19
60,15
61,2
62,19
63,19
64,8
65,19
66,15
67,2
68,19
69,19
70,19
71,19
72,10
73,2
74,1
75,1
76,1
77,1
78,12
79,17
80,3
81,3
82,7
83,13
84,15
85,13
86,13
87,13
88,18
89,13
90,15
91,2
92,18
93,18
94,18
95,18
96,9
97,2
98,18
99,18
100,18
101,18
102,10
103,4
104,1
105,1
106,0
107,1
108,12
109,17
110,3
111,3
112,3
113,3
114,12
115,17
116,3
117,3
118,3
119,3
120,15
121,17
122,13
123,13
124,7
125,13
126,10
127,2
128,1
129,1
130,1
131,1
132,12
133,17
134,17
135,17
136,17
137,3
138,15
139,2
140,18
141,1
142,1
143,18
144,15
145,2
146,13
147,13
148,18
149,13
150,15
151,2
152,19
153,19
154,0
155,19
156,10
157,4
158,16
159,16
160,16
161,16
162,15
163,2
164,18
165,18
166,18
167,18
168,10
169,2
170,19
171,19
172,0
173,19
174,15
175,2
176,14
177,14
178,14
179,14
180,12
181,17
182,13
183,13
184,13
185,13
186,15
187,2
188,1
189,1
190,1
191,1
192,10
193,4
194,1
195,1
196,0
197,1
198,12
199,17
200,3
201,14
202,14
203,14
204,15
205,2
206,18
207,1
208,1
209,1
210,15
211,2
212,18
213,18
214,19
215,19
216,15
217,2
218,19
219,19
220,19
221,19
222,10
223,4
224,16
225,16
226,16
227,16
228,12
229,17
230,14
231,14
232,14
233,14
234,15
235,17
236,13
237,13
238,13
239,13
240,15
241,17
242,13
243,13
244,13
245,13
246,15
247,2
248,19
249,19
250,19
251,19
252,10
253,2
254,1
255,1
256,1
257,1
258,10
259,2
260,1
261,1
262,0
263,19
264,12
265,17
266,3
267,13
268,3
269,13
270,10
271,4
272,16
273,16
274,16
275,16
276,15
277,13
278,13
279,13
280,13
281,13
282,15
283,2
284,14
285,14
286,14
287,14
288,15
289,2
290,19
291,19
292,19
293,19
294,15
295,2
296,19
297,19
298,19
299,19
300,15
301,17
302,13
303,13
304,7
305,13
306,15
307,2
308,19
309,19
310,19
311,19
312,10
313,2
314,1
315,1
316,0
317,1
318,10
319,4
320,1
321,1
322,0
323,1
324,10
325,4
326,1
327,1
328,5
329,1
330,15
331,2
332,14
333,14
334,14
335,14
336,10
337,4
338,1
339,1
340,5
341,1
342,15
343,2
344,19
345,19
346,19
347,19
348,12
349,17
350,17
351,17
352,17
353,17
354,15
355,2
356,19
357,19
358,0
359,19
360,12
361,17
362,3
363,3
364,3
365,3
366,12
367,17
368,3
369,3
370,3
371,3
372,12
373,17
374,3
375,3
376,14
377,3
378,10
379,4
380,16
381,16
382,16
383,16
