sample_idx,pulse,t_s,timepoint_index,n_timepoints_for_pulse
0,11027,0.04034334793686867,0,8
1,11027,0.0501287542283535,1,8
2,11027,0.061001431196928024,2,8
3,11027,0.07078684121370316,3,8
4,11027,0.08165951073169708,4,8
5,11027,0.09144492447376251,5,8
6,11027,0.10231759399175644,6,8
7,11027,0.1148211732506752,7,8
8,11093,0.04034334793686867,0,8
9,11093,0.05502145737409592,1,8
10,11093,0.0713304728269577,2,8
11,11093,0.08600858598947525,3,8
12,11093,0.10231759399175644,4,8
13,11093,0.11699570715427399,5,8
14,11093,0.13330471515655518,6,8
15,11093,0.14961373805999756,7,8
16,11174,0.041974250227212906,0,8
17,11174,0.059370528906583786,1,8
18,11174,0.07513590902090073,2,8
19,11174,0.08981402218341827,3,8
20,11174,0.10286123305559158,4,8
21,11174,0.11753933876752853,5,8
22,11174,0.13058654963970184,6,8
23,11174,0.14961373805999756,7,8
24,11226,0.040886979550123215,0,8
25,11226,0.05175965651869774,1,8
26,11226,0.06263232976198196,2,8
27,11226,0.07459227740764618,3,8
28,11226,0.0854649469256401,4,8
29,11226,0.09742489457130432,5,8
30,11226,0.11101573705673218,6,8
31,11226,0.1289556473493576,7,8
32,11227,0.04034334793686867,0,8
33,11227,0.0501287542283535,1,8
34,11227,0.05991416424512863,2,8
35,11227,0.06969957053661346,3,8
36,11227,0.0794849768280983,4,8
37,11227,0.08927038311958313,5,8
38,11227,0.09905579686164856,6,8
39,11227,0.10992846637964249,7,8
40,11228,0.040886979550123215,0,8
41,11228,0.057195995002985,1,8
42,11228,0.0724177360534668,2,8
43,11228,0.08437768369913101,3,8
44,11228,0.09742489457130432,4,8
45,11228,0.11536480486392975,5,8
46,11228,0.13167381286621094,6,8
47,11228,0.14961373805999756,7,8
48,11240,0.04143061488866806,0,8
49,11240,0.05610872805118561,1,8
50,11240,0.07078684121370316,2,8
51,11240,0.08709584921598434,3,8
52,11240,0.10177396237850189,4,8
53,11240,0.11808297783136368,5,8
54,11240,0.13276109099388123,6,8
55,11240,0.14907009899616241,7,8
56,11242,0.040886979550123215,0,8
57,11242,0.057195995002985,1,8
58,11242,0.0713304728269577,2,8
59,11242,0.08329041302204132,3,8
60,11242,0.09525036066770554,4,8
61,11242,0.11319027096033096,5,8
62,11242,0.131130188703537,6,8
63,11242,0.14907009899616241,7,8
