sample_idx,cluster,pulse,t_s,timepoint_index,n_timepoints_for_pulse
0,9,11027,0.04034334793686867,0,8
1,9,11027,0.0501287542283535,1,8
2,5,11027,0.061001431196928024,2,8
3,5,11027,0.07078684121370316,3,8
4,5,11027,0.08165951073169708,4,8
5,4,11027,0.09144492447376251,5,8
6,4,11027,0.10231759399175644,6,8
7,6,11027,0.1148211732506752,7,8
8,9,11093,0.04034334793686867,0,8
9,5,11093,0.05502145737409592,1,8
10,5,11093,0.0713304728269577,2,8
11,5,11093,0.08600858598947525,3,8
12,4,11093,0.10231759399175644,4,8
13,4,11093,0.11699570715427399,5,8
14,4,11093,0.13330471515655518,6,8
15,4,11093,0.14961373805999756,7,8
16,4,11174,0.041974250227212906,0,8
17,4,11174,0.059370528906583786,1,8
18,4,11174,0.07513590902090073,2,8
19,4,11174,0.08981402218341827,3,8
20,4,11174,0.10286123305559158,4,8
21,4,11174,0.11753933876752853,5,8
22,4,11174,0.13058654963970184,6,8
23,4,11174,0.14961373805999756,7,8
24,5,11226,0.040886979550123215,0,8
25,5,11226,0.05175965651869774,1,8
26,5,11226,0.06263232976198196,2,8
27,5,11226,0.07459227740764618,3,8
28,5,11226,0.0854649469256401,4,8
29,4,11226,0.09742489457130432,5,8
30,4,11226,0.11101573705673218,6,8
31,6,11226,0.1289556473493576,7,8
32,5,11227,0.04034334793686867,0,8
33,5,11227,0.0501287542283535,1,8
34,5,11227,0.05991416424512863,2,8
35,5,11227,0.06969957053661346,3,8
36,5,11227,0.0794849768280983,4,8
37,4,11227,0.08927038311958313,5,8
38,4,11227,0.09905579686164856,6,8
39,6,11227,0.10992846637964249,7,8
40,5,11228,0.040886979550123215,0,8
41,5,11228,0.057195995002985,1,8
42,5,11228,0.0724177360534668,2,8
43,5,11228,0.08437768369913101,3,8
44,4,11228,0.09742489457130432,4,8
45,4,11228,0.11536480486392975,5,8
46,4,11228,0.13167381286621094,6,8
47,4,11228,0.14961373805999756,7,8
48,5,11240,0.04143061488866806,0,8
49,5,11240,0.05610872805118561,1,8
50,5,11240,0.07078684121370316,2,8
51,4,11240,0.08709584921598434,3,8
52,4,11240,0.10177396237850189,4,8
53,4,11240,0.11808297783136368,5,8
54,4,11240,0.13276109099388123,6,8
55,6,11240,0.14907009899616241,7,8
56,5,11242,0.040886979550123215,0,8
57,4,11242,0.057195995002985,1,8
58,5,11242,0.0713304728269577,2,8
59,5,11242,0.08329041302204132,3,8
60,5,11242,0.09525036066770554,4,8
61,4,11242,0.11319027096033096,5,8
62,4,11242,0.131130188703537,6,8
63,6,11242,0.14907009899616241,7,8
64,4,11261,0.041974250227212906,0,8
65,4,11261,0.059370528906583786,1,8
66,4,11261,0.07404863834381104,2,8
67,4,11261,0.08872675150632858,3,8
68,4,11261,0.10340486466884613,4,8
69,4,11261,0.11808297783136368,5,8
70,4,11261,0.13276109099388123,6,8
71,6,11261,0.14961373805999756,7,8
72,4,11268,0.04034334793686867,0,8
73,4,11268,0.05121602118015289,1,8
74,4,11268,0.06317596882581711,2,8
75,4,11268,0.07404863834381104,3,8
76,4,11268,0.08600858598947525,4,8
77,4,11268,0.09688125550746918,5,8
78,4,11268,0.11155936866998672,6,8
79,6,11268,0.12949928641319275,7,8
80,4,11269,0.040886979550123215,0,8
81,4,11269,0.05610872805118561,1,8
82,4,11269,0.06806866824626923,2,8
83,4,11269,0.08002861589193344,3,8
84,4,11269,0.09198855608701706,4,8
85,4,11269,0.10829757153987885,5,8
86,6,11269,0.12623748183250427,6,8
87,6,11269,0.1441773921251297,7,8
88,4,11270,0.040886979550123215,0,8
89,4,11270,0.05556509271264076,1,8
90,4,11270,0.07187410444021225,2,8
91,4,11270,0.0854649469256401,3,8
92,4,11270,0.10177396237850189,4,8
93,4,11270,0.11645207554101944,5,8
94,4,11270,0.13276109099388123,6,8
95,6,11270,0.14907009899616241,7,8
96,4,11271,0.040886979550123215,0,8
97,4,11271,0.057195995002985,1,8
98,4,11271,0.07350500673055649,2,8
99,4,11271,0.08492131531238556,3,8
100,4,11271,0.09905579686164856,4,8
101,4,11271,0.11536480486392975,5,8
102,6,11271,0.13167381286621094,6,8
103,6,11271,0.14961373805999756,7,8
104,1,11274,0.04034334793686867,0,8
105,1,11274,0.0501287542283535,1,8
106,1,11274,0.05991416424512863,2,8
107,1,11274,0.06969957053661346,3,8
108,1,11274,0.0794849768280983,4,8
109,1,11274,0.08927038311958313,5,8
110,1,11274,0.09905579686164856,6,8
111,7,11274,0.10884120315313339,7,8
112,3,11294,0.040886979550123215,0,8
113,3,11294,0.050672389566898346,1,8
114,0,11294,0.06154506281018257,2,8
115,0,11294,0.0724177360534668,3,8
116,0,11294,0.08329041302204132,4,8
117,8,11294,0.09416308999061584,5,8
118,3,11294,0.10503576695919037,6,8
119,7,11294,0.12134477496147156,7,8
120,3,11297,0.040886979550123215,0,8
121,3,11297,0.05175965651869774,1,8
122,3,11297,0.06263232976198196,2,8
123,0,11297,0.07350500673055649,3,8
124,0,11297,0.08437768369913101,4,8
125,8,11297,0.09525036066770554,5,8
126,8,11297,0.10721030086278915,6,8
127,7,11297,0.12351931631565094,7,8
128,3,11298,0.040886979550123215,0,8
129,3,11298,0.04958512261509895,1,8
130,3,11298,0.05556509271264076,2,8
131,3,11298,0.06263232976198196,3,8
132,0,11298,0.0724177360534668,4,8
133,1,11298,0.08111587911844254,5,8
134,1,11298,0.08981402218341827,6,8
135,7,11298,0.0995994284749031,7,8
136,4,11306,0.04034334793686867,0,8
137,5,11306,0.05502145737409592,1,8
138,5,11306,0.0713304728269577,2,8
139,5,11306,0.08600858598947525,3,8
140,4,11306,0.10231759399175644,4,8
141,4,11306,0.11699570715427399,5,8
