sample_index,trial_index,equilibrium_index,pulse,t_s,naive_rmse,vae_rmse,delta_naive_minus_vae
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.141900000000000000e+04,2.022889815270900726e-02,6.963702343750000000e+04,2.441601953125000000e+04,4.522100390625000000e+04
1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.141900000000000000e+04,5.937052890658378601e-02,1.091928417968750000e+04,4.695229492187500000e+03,6.224054687500000000e+03
2.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.141900000000000000e+04,1.208011433482170105e-01,1.640502539062500000e+04,5.799425292968750000e+03,1.060560009765625000e+04
3.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,1.141900000000000000e+04,1.208011433482170105e-01,2.891948632812500000e+04,7.471678710937500000e+03,2.144780761718750000e+04
4.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00,1.460600000000000000e+04,6.317596882581710815e-02,2.345702539062500000e+04,5.017655273437500000e+03,1.843937011718750000e+04
5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00,1.460600000000000000e+04,4.741058498620986938e-02,2.146190429687500000e+04,4.635824707031250000e+03,1.682607958984375000e+04
6.000000000000000000e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.460600000000000000e+04,7.948497682809829712e-02,1.715312304687500000e+04,6.060621093750000000e+03,1.109250195312500000e+04
7.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00,1.141900000000000000e+04,2.022889815270900726e-02,1.277170898437500000e+04,1.075681835937500000e+04,2.014890625000000000e+03
8.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+00,1.460600000000000000e+04,1.533619500696659088e-02,8.636070312500000000e+04,1.054032421875000000e+05,-1.904253906250000000e+04
9.000000000000000000e+00,9.000000000000000000e+00,1.000000000000000000e+00,1.460600000000000000e+04,4.741058498620986938e-02,2.135809375000000000e+04,4.722231933593750000e+03,1.663586181640625000e+04
1.000000000000000000e+01,1.000000000000000000e+01,0.000000000000000000e+00,1.141900000000000000e+04,5.937052890658378601e-02,2.368815039062500000e+04,5.380592285156250000e+03,1.830755810546875000e+04
1.100000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,1.141900000000000000e+04,1.208011433482170105e-01,3.107491796875000000e+04,8.974387695312500000e+03,2.210053027343750000e+04
1.200000000000000000e+01,1.200000000000000000e+01,0.000000000000000000e+00,1.141900000000000000e+04,2.022889815270900726e-02,3.804598046875000000e+04,1.995216796875000000e+04,1.809381250000000000e+04
1.300000000000000000e+01,1.300000000000000000e+01,0.000000000000000000e+00,1.141900000000000000e+04,1.583118736743927002e-01,1.957816992187500000e+04,8.100309082031250000e+03,1.147786083984375000e+04
1.400000000000000000e+01,1.400000000000000000e+01,1.000000000000000000e+00,1.460600000000000000e+04,7.948497682809829712e-02,3.318616406250000000e+04,6.570853027343750000e+03,2.661531103515625000e+04
1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,1.141900000000000000e+04,1.583118736743927002e-01,1.232153125000000000e+04,3.902657226562500000e+03,8.418874023437500000e+03
1.600000000000000000e+01,1.600000000000000000e+01,0.000000000000000000e+00,1.141900000000000000e+04,9.144492447376251221e-02,3.483565234375000000e+04,6.773277343750000000e+03,2.806237500000000000e+04
1.700000000000000000e+01,1.700000000000000000e+01,1.000000000000000000e+00,1.460600000000000000e+04,7.948497682809829712e-02,5.252359765625000000e+04,5.906250488281250000e+03,4.661734716796875000e+04
1.800000000000000000e+01,1.800000000000000000e+01,0.000000000000000000e+00,1.141900000000000000e+04,5.937052890658378601e-02,8.114794531250000000e+04,1.118461230468750000e+04,6.996333300781250000e+04
1.900000000000000000e+01,1.900000000000000000e+01,0.000000000000000000e+00,1.141900000000000000e+04,9.144492447376251221e-02,1.216819531250000000e+04,5.789626464843750000e+03,6.378568847656250000e+03
2.000000000000000000e+01,2.000000000000000000e+01,0.000000000000000000e+00,1.141900000000000000e+04,5.937052890658378601e-02,1.849698632812500000e+04,7.662900878906250000e+03,1.083408544921875000e+04
2.100000000000000000e+01,2.100000000000000000e+01,1.000000000000000000e+00,1.460600000000000000e+04,4.741058498620986938e-02,4.536998828125000000e+04,7.415173339843750000e+03,3.795481494140625000e+04
2.200000000000000000e+01,2.200000000000000000e+01,1.000000000000000000e+00,1.460600000000000000e+04,4.741058498620986938e-02,2.283466992187500000e+04,5.037574218750000000e+03,1.779709570312500000e+04
2.300000000000000000e+01,2.300000000000000000e+01,1.000000000000000000e+00,1.460600000000000000e+04,7.948497682809829712e-02,1.752176562500000000e+04,3.893270751953125000e+03,1.362849487304687500e+04
2.400000000000000000e+01,2.400000000000000000e+01,0.000000000000000000e+00,1.141900000000000000e+04,9.144492447376251221e-02,6.813262500000000000e+04,1.881433007812500000e+04,4.931829492187500000e+04
2.500000000000000000e+01,2.500000000000000000e+01,1.000000000000000000e+00,1.460600000000000000e+04,7.948497682809829712e-02,3.847677734375000000e+04,5.516674316406250000e+03,3.296010302734375000e+04
2.600000000000000000e+01,2.600000000000000000e+01,0.000000000000000000e+00,1.141900000000000000e+04,9.144492447376251221e-02,9.517546875000000000e+03,5.692358886718750000e+03,3.825187988281250000e+03
2.700000000000000000e+01,2.700000000000000000e+01,0.000000000000000000e+00,1.141900000000000000e+04,9.144492447376251221e-02,6.967824707031250000e+03,3.812885742187500000e+03,3.154938964843750000e+03
2.800000000000000000e+01,2.800000000000000000e+01,1.000000000000000000e+00,1.460600000000000000e+04,4.741058498620986938e-02,4.680090625000000000e+04,9.480481445312500000e+03,3.732042480468750000e+04
2.900000000000000000e+01,2.900000000000000000e+01,1.000000000000000000e+00,1.460600000000000000e+04,1.533619500696659088e-02,2.887852539062500000e+04,2.827512304687500000e+04,6.034023437500000000e+02
3.000000000000000000e+01,3.000000000000000000e+01,0.000000000000000000e+00,1.141900000000000000e+04,2.022889815270900726e-02,1.698350976562500000e+04,8.452514648437500000e+03,8.530995117187500000e+03
