sample_index,trial_index,equilibrium_index,pulse,t_s,naive_rmse,vae_rmse,delta_naive_minus_vae
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.141900000000000000e+04,1.583118736743927002e-01,2.560205312500000000e+05,3.924861250000000000e+05,-1.364655937500000000e+05
1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.141900000000000000e+04,1.208011433482170105e-01,5.752496250000000000e+05,5.551406250000000000e+05,2.010900000000000000e+04
2.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.141900000000000000e+04,1.208011433482170105e-01,9.332662500000000000e+04,4.056804062500000000e+05,-3.123537812500000000e+05
3.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,1.141900000000000000e+04,5.937052890658378601e-02,1.728402500000000000e+05,1.485936406250000000e+05,2.424660937500000000e+04
4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.141900000000000000e+04,9.144492447376251221e-02,1.307304687500000000e+05,3.930385937500000000e+05,-2.623081250000000000e+05
5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00,1.460600000000000000e+04,6.317596882581710815e-02,2.754181562500000000e+05,7.253356250000000000e+05,-4.499174687500000000e+05
6.000000000000000000e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.460600000000000000e+04,4.741058498620986938e-02,2.921517500000000000e+05,5.120678437500000000e+05,-2.199160937500000000e+05
7.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00,1.141900000000000000e+04,9.144492447376251221e-02,3.023512187500000000e+05,3.346311562500000000e+05,-3.227993750000000000e+04
8.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+00,1.460600000000000000e+04,7.948497682809829712e-02,7.741096250000000000e+05,6.710467500000000000e+05,1.030628750000000000e+05
9.000000000000000000e+00,9.000000000000000000e+00,1.000000000000000000e+00,1.460600000000000000e+04,7.948497682809829712e-02,1.462325625000000000e+05,3.237669062500000000e+05,-1.775343437500000000e+05
1.000000000000000000e+01,1.000000000000000000e+01,0.000000000000000000e+00,1.141900000000000000e+04,1.583118736743927002e-01,5.540608125000000000e+05,7.158440625000000000e+05,-1.617832500000000000e+05
1.100000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,1.141900000000000000e+04,5.937052890658378601e-02,3.329694062500000000e+05,2.860107187500000000e+05,4.695868750000000000e+04
1.200000000000000000e+01,1.200000000000000000e+01,0.000000000000000000e+00,1.141900000000000000e+04,5.937052890658378601e-02,3.105287187500000000e+05,5.076213125000000000e+05,-1.970925937500000000e+05
1.300000000000000000e+01,1.300000000000000000e+01,0.000000000000000000e+00,1.141900000000000000e+04,5.937052890658378601e-02,3.836850312500000000e+05,5.372681875000000000e+05,-1.535831562500000000e+05
1.400000000000000000e+01,1.400000000000000000e+01,1.000000000000000000e+00,1.460600000000000000e+04,1.533619500696659088e-02,6.182566250000000000e+05,6.183475625000000000e+05,-9.093750000000000000e+01
1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,1.141900000000000000e+04,5.937052890658378601e-02,9.272753125000000000e+04,3.539490312500000000e+05,-2.612215000000000000e+05
1.600000000000000000e+01,1.600000000000000000e+01,0.000000000000000000e+00,1.141900000000000000e+04,1.208011433482170105e-01,2.334867500000000000e+05,5.017255625000000000e+05,-2.682388125000000000e+05
1.700000000000000000e+01,1.700000000000000000e+01,1.000000000000000000e+00,1.460600000000000000e+04,4.741058498620986938e-02,6.343372656250000000e+04,3.442543750000000000e+05,-2.808206484375000000e+05
1.800000000000000000e+01,1.800000000000000000e+01,0.000000000000000000e+00,1.141900000000000000e+04,5.937052890658378601e-02,2.826001875000000000e+05,3.354166562500000000e+05,-5.281646875000000000e+04
1.900000000000000000e+01,1.900000000000000000e+01,0.000000000000000000e+00,1.141900000000000000e+04,2.022889815270900726e-02,1.821338906250000000e+05,2.020423437500000000e+05,-1.990845312500000000e+04
2.000000000000000000e+01,2.000000000000000000e+01,0.000000000000000000e+00,1.141900000000000000e+04,5.937052890658378601e-02,2.802235625000000000e+05,2.527927968750000000e+05,2.743076562500000000e+04
2.100000000000000000e+01,2.100000000000000000e+01,0.000000000000000000e+00,1.141900000000000000e+04,5.937052890658378601e-02,2.530083593750000000e+05,2.362393750000000000e+05,1.676898437500000000e+04
2.200000000000000000e+01,2.200000000000000000e+01,1.000000000000000000e+00,1.460600000000000000e+04,4.741058498620986938e-02,2.228954062500000000e+05,2.729478125000000000e+05,-5.005240625000000000e+04
2.300000000000000000e+01,2.300000000000000000e+01,1.000000000000000000e+00,1.460600000000000000e+04,4.741058498620986938e-02,2.707719062500000000e+05,2.648145000000000000e+05,5.957406250000000000e+03
2.400000000000000000e+01,2.400000000000000000e+01,0.000000000000000000e+00,1.141900000000000000e+04,2.022889815270900726e-02,5.528678750000000000e+05,4.470649687500000000e+05,1.058029062500000000e+05
2.500000000000000000e+01,2.500000000000000000e+01,1.000000000000000000e+00,1.460600000000000000e+04,7.948497682809829712e-02,7.151460000000000000e+05,4.526512812500000000e+05,2.624947187500000000e+05
2.600000000000000000e+01,2.600000000000000000e+01,0.000000000000000000e+00,1.141900000000000000e+04,9.144492447376251221e-02,2.069318437500000000e+05,3.410917187500000000e+05,-1.341598750000000000e+05
2.700000000000000000e+01,2.700000000000000000e+01,0.000000000000000000e+00,1.141900000000000000e+04,1.208011433482170105e-01,1.741038750000000000e+05,2.650746562500000000e+05,-9.097078125000000000e+04
2.800000000000000000e+01,2.800000000000000000e+01,1.000000000000000000e+00,1.460600000000000000e+04,7.948497682809829712e-02,1.081096562500000000e+05,4.016411250000000000e+05,-2.935314687500000000e+05
2.900000000000000000e+01,2.900000000000000000e+01,1.000000000000000000e+00,1.460600000000000000e+04,4.741058498620986938e-02,2.735233750000000000e+05,3.369199375000000000e+05,-6.339656250000000000e+04
3.000000000000000000e+01,3.000000000000000000e+01,0.000000000000000000e+00,1.141900000000000000e+04,1.583118736743927002e-01,2.161190000000000000e+05,1.846478750000000000e+05,3.147112500000000000e+04
3.100000000000000000e+01,3.100000000000000000e+01,1.000000000000000000e+00,1.460600000000000000e+04,6.317596882581710815e-02,2.827404687500000000e+05,2.032767343750000000e+05,7.946373437500000000e+04
3.200000000000000000e+01,3.200000000000000000e+01,1.000000000000000000e+00,1.460600000000000000e+04,3.110157325863838196e-02,1.213165234375000000e+05,1.435250781250000000e+05,-2.220855468750000000e+04
3.300000000000000000e+01,3.300000000000000000e+01,1.000000000000000000e+00,1.460600000000000000e+04,6.317596882581710815e-02,3.405928750000000000e+05,3.282047812500000000e+05,1.238809375000000000e+04
3.400000000000000000e+01,3.400000000000000000e+01,0.000000000000000000e+00,1.141900000000000000e+04,9.144492447376251221e-02,2.135118437500000000e+05,2.401265625000000000e+05,-2.661471875000000000e+04
3.500000000000000000e+01,3.500000000000000000e+01,0.000000000000000000e+00,1.141900000000000000e+04,5.937052890658378601e-02,2.055709531250000000e+05,2.432496406250000000e+05,-3.767868750000000000e+04
3.600000000000000000e+01,3.600000000000000000e+01,1.000000000000000000e+00,1.460600000000000000e+04,4.741058498620986938e-02,4.066855937500000000e+05,4.132605000000000000e+05,-6.574906250000000000e+03
3.700000000000000000e+01,3.700000000000000000e+01,1.000000000000000000e+00,1.460600000000000000e+04,7.948497682809829712e-02,2.724220937500000000e+05,2.639505312500000000e+05,8.471562500000000000e+03
3.800000000000000000e+01,3.800000000000000000e+01,0.000000000000000000e+00,1.141900000000000000e+04,1.208011433482170105e-01,4.070628125000000000e+05,3.114464375000000000e+05,9.561637500000000000e+04
3.900000000000000000e+01,3.900000000000000000e+01,1.000000000000000000e+00,1.460600000000000000e+04,1.533619500696659088e-02,4.736569921875000000e+04,2.123176875000000000e+05,-1.649519882812500000e+05
4.000000000000000000e+01,4.000000000000000000e+01,1.000000000000000000e+00,1.460600000000000000e+04,1.533619500696659088e-02,1.523961250000000000e+05,2.018135937500000000e+05,-4.941746875000000000e+04
4.100000000000000000e+01,4.100000000000000000e+01,0.000000000000000000e+00,1.141900000000000000e+04,9.144492447376251221e-02,1.426545156250000000e+05,3.076300000000000000e+05,-1.649754843750000000e+05
4.200000000000000000e+01,4.200000000000000000e+01,1.000000000000000000e+00,1.460600000000000000e+04,7.948497682809829712e-02,1.347549687500000000e+05,2.307433750000000000e+05,-9.598840625000000000e+04
4.300000000000000000e+01,4.300000000000000000e+01,1.000000000000000000e+00,1.460600000000000000e+04,4.741058498620986938e-02,4.369471250000000000e+05,6.482146875000000000e+05,-2.112675625000000000e+05
4.400000000000000000e+01,4.400000000000000000e+01,1.000000000000000000e+00,1.460600000000000000e+04,4.741058498620986938e-02,1.897254531250000000e+05,1.984386875000000000e+05,-8.713234375000000000e+03
4.500000000000000000e+01,4.500000000000000000e+01,1.000000000000000000e+00,1.460600000000000000e+04,1.533619500696659088e-02,4.952301250000000000e+05,2.200441875000000000e+05,2.751859375000000000e+05
4.600000000000000000e+01,4.600000000000000000e+01,1.000000000000000000e+00,1.460600000000000000e+04,3.110157325863838196e-02,4.717039687500000000e+05,1.280206125000000000e+06,-8.085021562500000000e+05
4.700000000000000000e+01,4.700000000000000000e+01,1.000000000000000000e+00,1.460600000000000000e+04,7.948497682809829712e-02,2.714106875000000000e+05,2.468896718750000000e+05,2.452101562500000000e+04
4.800000000000000000e+01,4.800000000000000000e+01,1.000000000000000000e+00,1.460600000000000000e+04,7.948497682809829712e-02,2.938789375000000000e+05,1.950461562500000000e+05,9.883278125000000000e+04
4.900000000000000000e+01,4.900000000000000000e+01,1.000000000000000000e+00,1.460600000000000000e+04,7.948497682809829712e-02,5.914440625000000000e+05,6.892424375000000000e+05,-9.779837500000000000e+04
5.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.460600000000000000e+04,6.317596882581710815e-02,1.505125937500000000e+05,2.383080468750000000e+05,-8.779545312500000000e+04
5.100000000000000000e+01,5.100000000000000000e+01,0.000000000000000000e+00,1.141900000000000000e+04,1.583118736743927002e-01,2.839117500000000000e+05,2.951018125000000000e+05,-1.119006250000000000e+04
5.200000000000000000e+01,5.200000000000000000e+01,0.000000000000000000e+00,1.141900000000000000e+04,5.937052890658378601e-02,2.554599375000000000e+05,2.344131093750000000e+05,2.104682812500000000e+04
5.300000000000000000e+01,5.300000000000000000e+01,1.000000000000000000e+00,1.460600000000000000e+04,4.741058498620986938e-02,6.554856875000000000e+05,4.952921562500000000e+05,1.601935312500000000e+05
5.400000000000000000e+01,5.400000000000000000e+01,0.000000000000000000e+00,1.141900000000000000e+04,1.583118736743927002e-01,3.912587187500000000e+05,1.850899843750000000e+05,2.061687343750000000e+05
5.500000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00,1.460600000000000000e+04,7.948497682809829712e-02,4.992165937500000000e+05,2.229536562500000000e+05,2.762629375000000000e+05
5.600000000000000000e+01,5.600000000000000000e+01,1.000000000000000000e+00,1.460600000000000000e+04,4.741058498620986938e-02,3.040053750000000000e+05,2.108888281250000000e+05,9.311654687500000000e+04
5.700000000000000000e+01,5.700000000000000000e+01,0.000000000000000000e+00,1.141900000000000000e+04,1.208011433482170105e-01,1.419983906250000000e+05,2.295923281250000000e+05,-8.759393750000000000e+04
5.800000000000000000e+01,5.800000000000000000e+01,0.000000000000000000e+00,1.141900000000000000e+04,9.144492447376251221e-02,1.722270937500000000e+05,1.769706875000000000e+05,-4.743593750000000000e+03
5.900000000000000000e+01,5.900000000000000000e+01,0.000000000000000000e+00,1.141900000000000000e+04,9.144492447376251221e-02,5.480413281250000000e+04,3.764487187500000000e+05,-3.216445859375000000e+05
6.000000000000000000e+01,6.000000000000000000e+01,0.000000000000000000e+00,1.141900000000000000e+04,9.144492447376251221e-02,3.540427500000000000e+05,1.743422656250000000e+05,1.797004843750000000e+05
6.100000000000000000e+01,6.100000000000000000e+01,1.000000000000000000e+00,1.460600000000000000e+04,4.741058498620986938e-02,3.356361250000000000e+05,3.292500312500000000e+05,6.386093750000000000e+03
6.200000000000000000e+01,6.200000000000000000e+01,1.000000000000000000e+00,1.460600000000000000e+04,7.948497682809829712e-02,1.430191093750000000e+05,2.241924218750000000e+05,-8.117331250000000000e+04
6.300000000000000000e+01,6.300000000000000000e+01,1.000000000000000000e+00,1.460600000000000000e+04,1.533619500696659088e-02,3.063852812500000000e+05,2.214332812500000000e+05,8.495200000000000000e+04
6.400000000000000000e+01,6.400000000000000000e+01,1.000000000000000000e+00,1.460600000000000000e+04,1.533619500696659088e-02,2.646378125000000000e+05,3.038775937500000000e+05,-3.923978125000000000e+04
6.500000000000000000e+01,6.500000000000000000e+01,1.000000000000000000e+00,1.460600000000000000e+04,3.110157325863838196e-02,3.985828437500000000e+05,3.878350000000000000e+05,1.074784375000000000e+04
6.600000000000000000e+01,6.600000000000000000e+01,1.000000000000000000e+00,1.460600000000000000e+04,4.741058498620986938e-02,4.997478437500000000e+05,4.999283125000000000e+05,-1.804687500000000000e+02
6.700000000000000000e+01,6.700000000000000000e+01,1.000000000000000000e+00,1.460600000000000000e+04,7.948497682809829712e-02,4.662435312500000000e+05,2.034095937500000000e+05,2.628339375000000000e+05
6.800000000000000000e+01,6.800000000000000000e+01,0.000000000000000000e+00,1.141900000000000000e+04,9.144492447376251221e-02,8.871557812500000000e+04,4.304048750000000000e+05,-3.416892968750000000e+05
6.900000000000000000e+01,6.900000000000000000e+01,0.000000000000000000e+00,1.141900000000000000e+04,9.144492447376251221e-02,2.786067187500000000e+05,4.820185625000000000e+05,-2.034118437500000000e+05
7.000000000000000000e+01,7.000000000000000000e+01,1.000000000000000000e+00,1.460600000000000000e+04,3.110157325863838196e-02,5.191595000000000000e+05,5.169428750000000000e+05,2.216625000000000000e+03
7.100000000000000000e+01,7.100000000000000000e+01,1.000000000000000000e+00,1.460600000000000000e+04,3.110157325863838196e-02,2.323906875000000000e+05,2.951599375000000000e+05,-6.276925000000000000e+04
7.200000000000000000e+01,7.200000000000000000e+01,0.000000000000000000e+00,1.141900000000000000e+04,1.583118736743927002e-01,3.255080625000000000e+05,1.765524843750000000e+05,1.489555781250000000e+05
7.300000000000000000e+01,7.300000000000000000e+01,0.000000000000000000e+00,1.141900000000000000e+04,1.583118736743927002e-01,4.188151250000000000e+05,5.356698125000000000e+05,-1.168546875000000000e+05
7.400000000000000000e+01,7.400000000000000000e+01,0.000000000000000000e+00,1.141900000000000000e+04,1.583118736743927002e-01,1.435628437500000000e+05,3.540483125000000000e+05,-2.104854687500000000e+05
7.500000000000000000e+01,7.500000000000000000e+01,1.000000000000000000e+00,1.460600000000000000e+04,4.741058498620986938e-02,6.678593750000000000e+04,2.222571093750000000e+05,-1.554711718750000000e+05
7.600000000000000000e+01,7.600000000000000000e+01,1.000000000000000000e+00,1.460600000000000000e+04,3.110157325863838196e-02,2.878999062500000000e+05,4.019318750000000000e+05,-1.140319687500000000e+05
7.700000000000000000e+01,7.700000000000000000e+01,0.000000000000000000e+00,1.141900000000000000e+04,1.583118736743927002e-01,1.134809453125000000e+05,1.673741406250000000e+05,-5.389319531250000000e+04
7.800000000000000000e+01,7.800000000000000000e+01,1.000000000000000000e+00,1.460600000000000000e+04,7.948497682809829712e-02,4.179357500000000000e+05,2.139254687500000000e+05,2.040102812500000000e+05
7.900000000000000000e+01,7.900000000000000000e+01,1.000000000000000000e+00,1.460600000000000000e+04,1.533619500696659088e-02,2.362893593750000000e+05,3.891171562500000000e+05,-1.528277968750000000e+05
8.000000000000000000e+01,8.000000000000000000e+01,1.000000000000000000e+00,1.460600000000000000e+04,6.317596882581710815e-02,7.273096875000000000e+04,3.429383125000000000e+05,-2.702073437500000000e+05
8.100000000000000000e+01,8.100000000000000000e+01,1.000000000000000000e+00,1.460600000000000000e+04,4.741058498620986938e-02,3.011701250000000000e+05,2.418810468750000000e+05,5.928907812500000000e+04
8.200000000000000000e+01,8.200000000000000000e+01,1.000000000000000000e+00,1.460600000000000000e+04,4.741058498620986938e-02,2.616197968750000000e+05,3.525185625000000000e+05,-9.089876562500000000e+04
8.300000000000000000e+01,8.300000000000000000e+01,0.000000000000000000e+00,1.141900000000000000e+04,1.583118736743927002e-01,3.079077187500000000e+05,3.382301250000000000e+05,-3.032240625000000000e+04
8.400000000000000000e+01,8.400000000000000000e+01,1.000000000000000000e+00,1.460600000000000000e+04,4.741058498620986938e-02,2.660335000000000000e+05,2.532045625000000000e+05,1.282893750000000000e+04
8.500000000000000000e+01,8.500000000000000000e+01,1.000000000000000000e+00,1.460600000000000000e+04,6.317596882581710815e-02,1.716053750000000000e+05,2.816076562500000000e+05,-1.100022812500000000e+05
8.600000000000000000e+01,8.600000000000000000e+01,0.000000000000000000e+00,1.141900000000000000e+04,5.937052890658378601e-02,3.881866562500000000e+05,3.087283437500000000e+05,7.945831250000000000e+04
8.700000000000000000e+01,8.700000000000000000e+01,0.000000000000000000e+00,1.141900000000000000e+04,5.937052890658378601e-02,1.301578671875000000e+05,2.538482187500000000e+05,-1.236903515625000000e+05
8.800000000000000000e+01,8.800000000000000000e+01,1.000000000000000000e+00,1.460600000000000000e+04,1.533619500696659088e-02,2.193620000000000000e+05,1.293189765625000000e+05,9.004302343750000000e+04
8.900000000000000000e+01,8.900000000000000000e+01,1.000000000000000000e+00,1.460600000000000000e+04,4.741058498620986938e-02,1.956460937500000000e+05,2.606386562500000000e+05,-6.499256250000000000e+04
9.000000000000000000e+01,9.000000000000000000e+01,1.000000000000000000e+00,1.460600000000000000e+04,4.741058498620986938e-02,3.963275312500000000e+05,6.068525000000000000e+05,-2.105249687500000000e+05
9.100000000000000000e+01,9.100000000000000000e+01,1.000000000000000000e+00,1.460600000000000000e+04,6.317596882581710815e-02,7.628892500000000000e+05,3.317951250000000000e+05,4.310941250000000000e+05
9.200000000000000000e+01,9.200000000000000000e+01,0.000000000000000000e+00,1.141900000000000000e+04,1.208011433482170105e-01,1.541594843750000000e+05,1.949059843750000000e+05,-4.074650000000000000e+04
9.300000000000000000e+01,9.300000000000000000e+01,1.000000000000000000e+00,1.460600000000000000e+04,4.741058498620986938e-02,5.628600000000000000e+05,6.820325000000000000e+05,-1.191725000000000000e+05
9.400000000000000000e+01,9.400000000000000000e+01,1.000000000000000000e+00,1.460600000000000000e+04,6.317596882581710815e-02,1.214749296875000000e+05,2.229718593750000000e+05,-1.014969296875000000e+05
9.500000000000000000e+01,9.500000000000000000e+01,1.000000000000000000e+00,1.460600000000000000e+04,4.741058498620986938e-02,1.259117343750000000e+05,3.336597187500000000e+05,-2.077479843750000000e+05
9.600000000000000000e+01,9.600000000000000000e+01,1.000000000000000000e+00,1.460600000000000000e+04,4.741058498620986938e-02,1.514571250000000000e+05,3.253388125000000000e+05,-1.738816875000000000e+05
9.700000000000000000e+01,9.700000000000000000e+01,1.000000000000000000e+00,1.460600000000000000e+04,4.741058498620986938e-02,3.240826875000000000e+05,2.640489687500000000e+05,6.003371875000000000e+04
9.800000000000000000e+01,9.800000000000000000e+01,1.000000000000000000e+00,1.460600000000000000e+04,4.741058498620986938e-02,1.690292812500000000e+05,3.382151562500000000e+05,-1.691858750000000000e+05
9.900000000000000000e+01,9.900000000000000000e+01,0.000000000000000000e+00,1.141900000000000000e+04,1.583118736743927002e-01,2.552809843750000000e+05,5.222130937500000000e+05,-2.669321093750000000e+05
1.000000000000000000e+02,1.000000000000000000e+02,0.000000000000000000e+00,1.141900000000000000e+04,1.583118736743927002e-01,2.972103750000000000e+05,2.229047187500000000e+05,7.430565625000000000e+04
1.010000000000000000e+02,1.010000000000000000e+02,1.000000000000000000e+00,1.460600000000000000e+04,6.317596882581710815e-02,2.686818437500000000e+05,3.980659687500000000e+05,-1.293841250000000000e+05
1.020000000000000000e+02,1.020000000000000000e+02,0.000000000000000000e+00,1.141900000000000000e+04,1.208011433482170105e-01,6.975260156250000000e+04,2.879189375000000000e+05,-2.181663359375000000e+05
1.030000000000000000e+02,1.030000000000000000e+02,0.000000000000000000e+00,1.141900000000000000e+04,5.937052890658378601e-02,1.934624375000000000e+05,2.484525468750000000e+05,-5.499010937500000000e+04
1.040000000000000000e+02,1.040000000000000000e+02,1.000000000000000000e+00,1.460600000000000000e+04,4.741058498620986938e-02,1.042113828125000000e+05,3.392835937500000000e+05,-2.350722109375000000e+05
1.050000000000000000e+02,1.050000000000000000e+02,0.000000000000000000e+00,1.141900000000000000e+04,1.208011433482170105e-01,2.362245156250000000e+05,5.540361250000000000e+05,-3.178116093750000000e+05
1.060000000000000000e+02,1.060000000000000000e+02,0.000000000000000000e+00,1.141900000000000000e+04,1.208011433482170105e-01,2.885657187500000000e+05,2.215118437500000000e+05,6.705387500000000000e+04
1.070000000000000000e+02,1.070000000000000000e+02,1.000000000000000000e+00,1.460600000000000000e+04,1.533619500696659088e-02,3.143216250000000000e+05,2.682965625000000000e+05,4.602506250000000000e+04
1.080000000000000000e+02,1.080000000000000000e+02,1.000000000000000000e+00,1.460600000000000000e+04,6.317596882581710815e-02,2.526245937500000000e+05,2.106832500000000000e+05,4.194134375000000000e+04
1.090000000000000000e+02,1.090000000000000000e+02,1.000000000000000000e+00,1.460600000000000000e+04,4.741058498620986938e-02,2.216435156250000000e+05,2.233678281250000000e+05,-1.724312500000000000e+03
1.100000000000000000e+02,1.100000000000000000e+02,0.000000000000000000e+00,1.141900000000000000e+04,2.022889815270900726e-02,3.699863750000000000e+05,2.483475468750000000e+05,1.216388281250000000e+05
1.110000000000000000e+02,1.110000000000000000e+02,0.000000000000000000e+00,1.141900000000000000e+04,1.583118736743927002e-01,3.767890937500000000e+05,2.889439375000000000e+05,8.784515625000000000e+04
1.120000000000000000e+02,1.120000000000000000e+02,1.000000000000000000e+00,1.460600000000000000e+04,3.110157325863838196e-02,6.302412500000000000e+05,4.532226562500000000e+05,1.770185937500000000e+05
1.130000000000000000e+02,1.130000000000000000e+02,0.000000000000000000e+00,1.141900000000000000e+04,5.937052890658378601e-02,1.536414531250000000e+05,1.764121406250000000e+05,-2.277068750000000000e+04
1.140000000000000000e+02,1.140000000000000000e+02,0.000000000000000000e+00,1.141900000000000000e+04,9.144492447376251221e-02,8.914904687500000000e+04,3.214412187500000000e+05,-2.322921718750000000e+05
1.150000000000000000e+02,1.150000000000000000e+02,1.000000000000000000e+00,1.460600000000000000e+04,4.741058498620986938e-02,3.585935937500000000e+05,2.787060312500000000e+05,7.988756250000000000e+04
1.160000000000000000e+02,1.160000000000000000e+02,0.000000000000000000e+00,1.141900000000000000e+04,1.208011433482170105e-01,1.016727656250000000e+05,2.100953906250000000e+05,-1.084226250000000000e+05
1.170000000000000000e+02,1.170000000000000000e+02,1.000000000000000000e+00,1.460600000000000000e+04,4.741058498620986938e-02,2.308294687500000000e+05,3.013441562500000000e+05,-7.051468750000000000e+04
1.180000000000000000e+02,1.180000000000000000e+02,1.000000000000000000e+00,1.460600000000000000e+04,4.741058498620986938e-02,2.312644687500000000e+05,3.340009687500000000e+05,-1.027365000000000000e+05
