count_level,loglik_brightness,loglik_emissivity,loglik_total
1.0,-11.679826977776344,-10.893839895351421,-22.573666873127763
2.0,-12.52208046499687,-14.371591309040026,-26.893671774036896
5.0,-13.201032586990493,-15.530640029874517,-28.731672616865012
10.0,-14.656138726653817,-13.969184171260016,-28.625322897913833
20.0,-14.026155400189916,-13.752594315404592,-27.778749715594508
50.0,-11.479161943461198,-9.450157395956987,-20.929319339418186
100.0,-7.550068680981761,-3.220480657339362,-10.770549338321123
200.0,-3.7111656828941832,-3.381498577929575,-7.092664260823758
500.0,-3.6111500521002786,-3.4952168889256288,-7.106366941025907
1000.0,-3.6968412807576096,-3.533335579326513,-7.230176860084123
