sample_idx,cluster
0,8
1,6
2,0
3,6
4,3
5,7
6,7
7,0
8,8
9,7
10,9
11,9
12,1
13,6
14,6
15,6
16,3
17,8
18,9
19,1
20,7
21,6
22,7
23,4
24,5
25,3
26,6
27,2
28,6
29,7
30,0
31,0
32,6
33,2
34,1
35,3
36,2
37,2
38,3
39,3
40,1
41,2
42,3
43,8
44,3
45,2
46,6
47,3
48,6
49,0
50,2
51,7
52,6
53,6
54,2
55,6
56,7
57,2
58,2
59,2
60,2
61,2
62,2
63,1
64,2
65,3
66,1
67,6
68,9
69,7
70,9
71,9
72,1
73,3
74,2
75,7
76,1
77,2
78,1
79,1
80,1
81,7
82,7
83,7
84,7
85,6
86,0
87,0
88,5
89,0
90,0
91,9
92,5
93,0
