cluster,count,mean_norm,trace_cov
0,16,1.7204757077896977e+20,2.785531945837944e+38
1,4,3.009474629900734e+20,8.84730817907287e+38
2,4,3.015073102137095e+20,2.5535362167473856e+39
3,11,2.312998839551286e+20,8.189302400209123e+38
4,5,2.0876222746111423e+20,4.789334700448281e+38
5,8,2.013162050664466e+20,2.130981883563594e+38
6,18,1.897035847653253e+20,1.5748999611202943e+38
7,10,1.386356867428551e+20,2.2572665562205352e+38
8,8,2.3469756622591636e+20,4.642324027295344e+38
9,10,9.621196131585738e+19,3.6010036467039276e+38
