sample_idx,pulse,ne_rmse,te_rmse,ne_start,te_start
0,11298,1.3596116861258301e+18,2.2863917350769043,6.990061170897558e+19,785.990966796875
1,11428,7.304062615263642e+17,4.4960103034973145,8.115892028409958e+19,1440.9481201171875
2,11475,1.8210173426755174e+17,7.036916732788086,7.946986811369613e+19,1917.787841796875
3,11512,8.782029581293978e+17,6.51864767074585,7.237877897658735e+19,1365.2030029296875
4,11578,3.931529568594166e+17,4.038877487182617,9.771329049719734e+19,1126.9046630859375
5,12157,4.598134262737142e+17,3.4756758213043213,6.85340331048593e+19,1484.9442138671875
6,12158,2.6975462943516262e+17,3.9945125579833984,6.530757780580178e+19,1349.495361328125
7,12196,1.5386491845659853e+17,3.9930591583251953,7.847005140423383e+19,1850.4481201171875
8,12426,2.3724782585800294e+17,1.9140620231628418,7.890362842148451e+19,698.78564453125
9,12434,2.4873212173090816e+17,3.2112326622009277,9.336047349641354e+19,1334.9530029296875
10,12442,9.11268433872552e+17,4.002167701721191,8.970518667229082e+19,961.0379638671875
11,12444,1.4628373424347546e+17,2.7194106578826904,9.570591651641321e+19,854.2415771484375
12,12491,2.6671301949548134e+17,3.3169796466827393,7.744499870389083e+19,1563.9368896484375
13,12492,1.5185965320167752e+18,6.679338455200195,7.654111218492873e+19,1611.2344970703125
14,12500,1.791405261156516e+17,6.650995254516602,8.376677714723078e+19,1403.1502685546875
15,12511,2.3629070098602394e+17,7.373006820678711,5.35615434647824e+19,1582.2684326171875
16,12513,2.6414620960043827e+17,4.169226169586182,8.67478258490152e+19,1049.04833984375
17,12514,2.3540750109114368e+17,2.152766704559326,4.010415445950176e+19,828.5433349609375
18,12516,2.403093300861993e+17,1.953689455986023,1.1033607980825182e+20,1012.9706420898438
19,12519,8.90411059070894e+16,6.255059719085693,4.931320205886987e+19,1628.574951171875
20,12525,1.0658639949856768e+17,3.0293755531311035,7.156848728542806e+19,1533.7076416015625
21,12839,1.6210721152371261e+18,8.23349380493164,5.9690555529540665e+19,1434.901123046875
22,12855,3.04294137954304e+17,12.129378318786621,4.4121871102465016e+19,1283.3526611328125
23,12857,2.218539415146332e+17,2.3409125804901123,8.338984696904312e+19,1531.3282470703125
24,13130,6.173244455471022e+17,7.125916957855225,8.432354344725748e+19,1551.39794921875
25,13368,3.5418217596216934e+17,4.041557312011719,5.6756970545704075e+19,1039.016357421875
26,13379,8.485151133872947e+16,6.619345664978027,3.6474976638492213e+19,1577.3597412109375
27,13443,2.2566388674383053e+17,6.032745361328125,7.55408028942572e+19,1249.7235107421875
28,13560,2.126902164717568e+17,5.989477157592773,6.864574348624134e+19,1528.488525390625
29,13567,3.107177941214167e+17,3.1451683044433594,7.450135978572985e+19,1220.1322021484375
30,13584,2.862788804513628e+17,3.874990463256836,6.5841522642482364e+19,1904.0689697265625
31,13619,1.3584780552778547e+17,4.9608612060546875,4.659399105612402e+19,1841.0399169921875
32,13640,3.119523738807173e+17,6.463689804077148,7.228396588990097e+19,1650.117431640625
33,13662,2.3047017848635392e+17,4.479506015777588,7.781316797342836e+19,1471.7796630859375
34,13663,5.420455229579592e+17,6.415743350982666,6.991688008302015e+19,1691.0196533203125
35,13664,2.962152013913129e+17,4.611395835876465,7.363908758285582e+19,1074.4786376953125
36,13668,3.371442812171059e+17,6.389719486236572,7.431496177849624e+19,1410.4720458984375
37,13669,3.097128748533678e+17,4.835534572601318,7.672423804555808e+19,1347.9901123046875
38,13670,4.2873280953686426e+17,5.60299015045166,6.869454421032855e+19,1149.1746826171875
39,13671,3.111020047158477e+17,5.916271209716797,6.862002810829092e+19,1128.274658203125
40,13672,6.148079383090299e+17,5.8565216064453125,7.211925465001361e+19,1533.4354248046875
41,13673,4.120843137067254e+17,5.289940357208252,7.618801062273824e+19,1468.9349365234375
42,13681,3.320140974008566e+17,5.307859420776367,7.241662856486191e+19,1029.06640625
43,13684,4.316290949631181e+17,2.613121509552002,9.706763088108821e+19,972.9090576171875
44,13686,4.47232608070271e+17,4.984748363494873,7.912482377271398e+19,1124.06591796875
45,13691,2.695074626572124e+17,5.74987268447876,7.84196146068445e+19,1331.2308349609375
46,13701,2.0534133844973978e+17,4.42282247543335,8.139085566490916e+19,1534.0487060546875
47,13711,9.90012089399509e+17,4.937140941619873,9.460724051747432e+19,1174.6304931640625
48,13734,2.619037728154583e+17,6.333122730255127,4.3565302714531316e+19,1438.6103515625
49,13735,2.2267446924673024e+17,9.18950366973877,6.379953163760933e+19,1656.50146484375
50,13751,2.3935775431196672e+17,5.849855422973633,6.882149822091808e+19,1391.4776611328125
51,13763,4.549832029734175e+17,3.663881778717041,5.581827348860659e+19,1245.023681640625
52,13764,1.3062481262223032e+18,6.623508930206299,7.640076172466638e+19,1539.8387451171875
53,13766,2.9171015865493094e+17,7.2156147956848145,8.20132320227885e+19,1458.0294189453125
54,13767,7.95039059700351e+17,5.1378326416015625,8.57234064673698e+19,1369.005126953125
55,13778,1.4097254332550349e+17,5.344268321990967,6.8931031569277125e+19,1678.67138671875
56,13779,1.9822363961941033e+18,3.803863048553467,8.128936634361892e+19,1369.5037841796875
57,13780,2.5097058996610662e+17,5.118141174316406,7.148539059464726e+19,1322.93359375
58,13781,2.4387686736121037e+17,5.1145734786987305,7.233343951510438e+19,1377.87158203125
59,13786,3.7504015205924864e+17,4.913109302520752,7.131921480527171e+19,1366.44970703125
60,13787,3.07596967804928e+17,5.713230133056641,7.175978031842853e+19,1335.1505126953125
61,13789,2.115025377553285e+17,4.93688440322876,7.665116010472958e+19,1342.185302734375
62,13790,2.2651648929169408e+17,4.93032169342041,7.217721650498345e+19,1262.459716796875
63,13791,2.6781325267776307e+17,4.515032768249512,7.610830922386401e+19,1546.5225830078125
64,13792,2.2058355890795315e+17,5.16587495803833,7.500011585227509e+19,1395.3934326171875
