sample_idx,pulse
0,11226
1,11298
2,11340
3,11365
4,11428
5,11443
6,11475
7,11484
8,11512
9,11514
10,11567
11,11578
12,11579
13,12135
14,12157
15,12158
16,12159
17,12196
18,12235
19,12240
20,12264
21,12277
22,12278
23,12325
24,12334
25,12424
26,12426
27,12434
28,12442
29,12444
30,12489
31,12491
32,12492
33,12494
34,12500
35,12511
36,12513
37,12514
38,12516
39,12519
40,12525
41,12839
42,12855
43,12857
44,12867
45,13130
46,13131
47,13132
48,13135
49,13320
50,13321
51,13322
52,13326
53,13327
54,13345
55,13368
56,13379
57,13443
58,13473
59,13511
60,13537
61,13560
62,13562
63,13563
64,13564
65,13565
66,13567
67,13584
68,13587
69,13618
70,13619
71,13640
72,13642
73,13643
74,13661
75,13662
76,13663
77,13664
78,13668
79,13669
80,13670
81,13671
82,13672
83,13673
84,13681
85,13683
86,13684
87,13685
88,13686
89,13689
90,13691
91,13701
92,13711
93,13720
94,13734
95,13735
96,13751
97,13759
98,13762
99,13763
100,13764
101,13766
102,13767
103,13778
104,13779
105,13780
106,13781
107,13786
108,13787
109,13789
110,13790
111,13791
112,13792
113,13793
114,13800
115,13820
116,13821
117,13822
118,13824
119,13825
120,13826
121,13829
122,13830
123,13831
124,13834
125,13852
126,13853
127,13855
128,13857
129,13859
130,13860
131,13879
132,13880
133,13883
134,13884
135,13888
136,13889
137,13890
138,13899
139,13902
140,13904
141,13905
142,13906
143,13916
144,13923
145,14051
146,14194
147,14241
148,14257
149,14258
150,14259
151,14261
152,14271
153,14302
154,14303
155,14304
156,14306
157,14319
158,14346
159,14383
160,14391
161,14413
162,14423
163,14459
164,14522
165,14523
166,14525
167,14530
168,14533
169,14575
170,14581
171,14600
172,14605
173,14620
174,14654
175,14664
176,14691
