sample_idx,pulse
0,14517
1,14518
2,14521
3,14522
4,14523
5,14524
6,14525
7,14526
8,14527
9,14528
10,14529
11,14530
12,14531
13,14533
14,14534
15,14543
16,14544
17,14546
18,14547
19,14548
20,14549
21,14550
22,14551
23,14552
24,14553
25,14554
26,14555
27,14556
28,14557
29,14558
30,14559
31,14560
32,14561
33,14562
34,14569
35,14570
36,14578
37,14579
38,14592
39,14593
40,14594
41,14595
42,14596
43,14597
44,14598
45,14599
46,14600
47,14601
48,14602
49,14604
50,14605
51,14614
52,14620
53,14622
54,14623
55,14624
56,14654
57,14656
58,14657
59,14660
60,14661
61,14662
62,14663
63,14664
64,14669
65,14681
66,14682
67,14683
68,14684
69,14685
70,14686
71,14688
72,14689
73,14690
74,14691
75,14692
76,14693
