sample_idx,pulse,removed_as_outlier,ne_max_abs_robust_z,te_max_abs_robust_z,ne_bad_count,te_bad_count,ne_bad_fraction,te_bad_fraction
0,14517,False,0.7581781309933949,0.9665797201046123,0,0,0.0,0.0
1,14518,False,0.7274939760714594,2.296300339084071,0,0,0.0,0.0
2,14519,False,1.315090880884027,1.7379981469213468,0,0,0.0,0.0
3,14521,False,1.8955905603384966,0.9098614862299103,0,0,0.0,0.0
4,14522,False,0.8701081525909148,1.1074881943881718,0,0,0.0,0.0
5,14523,False,3.988717212055143,1.2394448925372257,0,0,0.0,0.0
6,14525,False,1.9151548471713773,0.992320935189462,0,0,0.0,0.0
7,14526,True,0.9919538198913381,1866467870971.8938,0,1,0.0,0.0078125
8,14527,True,3.9611012110639097,2159447897048.2236,0,1,0.0,0.0078125
9,14530,False,1.5762568754833743,1.7187794392172289,0,0,0.0,0.0
10,14533,False,2.605506660417997,1.0245332535451488,0,0,0.0,0.0
11,14543,True,5.010577756188004,5268111461154.141,0,6,0.0,0.046875
12,14544,True,0.6744907594765953,7923029219430.419,0,6,0.0,0.046875
13,14545,True,1.0173757132929018,13173902370854.781,0,6,0.0,0.046875
14,14547,False,2.058801789274682,1.8522914588743413,0,0,0.0,0.0
15,14548,False,0.9216691220313559,0.6744907594765952,0,0,0.0,0.0
16,14549,True,1.0427390333261868,5380449934428.992,0,6,0.0,0.046875
17,14550,False,1.6519762036418482,2.750737843551438,0,0,0.0,0.0
18,14553,True,1.336724894221014,16003498966099.2,0,6,0.0,0.046875
19,14554,True,0.5232790261430722,6073484468376.461,0,6,0.0,0.046875
20,14555,True,0.8666417488950141,7402489385703.918,0,6,0.0,0.046875
21,14556,True,7.56071010641013,7122874211705.393,0,4,0.0,0.03125
22,14557,True,0.8086123492801457,18082655635614.008,0,6,0.0,0.046875
23,14558,False,1.1507088913510921,0.9780970222113793,0,0,0.0,0.0
24,14559,True,1.3209201622019169,12915035048654.232,0,5,0.0,0.0390625
25,14560,True,1.0059322519239762,28028623240527.62,0,7,0.0,0.0546875
26,14561,False,0.6814532520082782,3.4052368750763304,0,0,0.0,0.0
27,14562,True,1.652742285766137,23043738128073.414,0,7,0.0,0.0546875
28,14569,False,1.7253116668026005,1.7011599640745791,0,0,0.0,0.0
29,14570,True,2.0541921943195995,8398228033856.473,0,5,0.0,0.0390625
30,14575,False,2.0848147706848557,5.412274407367043,0,0,0.0,0.0
31,14581,False,1.8928830299637125,1.498833602494247,0,0,0.0,0.0
32,14593,False,3.2769241628316843,2.7134098342145063,0,0,0.0,0.0
33,14599,True,9.322243659657783,25253465714989.188,2,7,0.015625,0.0546875
34,14600,False,0.9393441253272785,1.3017889110215557,0,0,0.0,0.0
35,14601,True,12.64615325538596,38123682058888.31,6,7,0.046875,0.0546875
36,14603,True,6.464779653239905,12889219073330.715,0,5,0.0,0.0390625
37,14605,False,2.2120554476210295,3.1977977204052435,0,0,0.0,0.0
38,14614,False,0.778971885751082,0.9573255798687358,0,0,0.0,0.0
39,14620,False,0.8031325810124174,3.2724386547749984,0,0,0.0,0.0
40,14654,False,2.5140344932895617,1.841972485266083,0,0,0.0,0.0
41,14664,False,1.6471796136960652,1.6750188113177324,0,0,0.0,0.0
42,14669,True,2.7575491417621105,2642014916570.631,0,3,0.0,0.0234375
43,14681,True,5.177234025555066,5857370392796.676,0,5,0.0,0.0390625
44,14685,True,6.194572553650182,7664015237480.6875,0,6,0.0,0.046875
45,14686,True,6.68371503194009,8052112312270.581,0,6,0.0,0.046875
46,14687,True,4.360611911279551,12104962497012.875,0,6,0.0,0.046875
47,14688,True,5.976066778088948,11180133837590.924,0,6,0.0,0.046875
48,14689,True,5.87931062285888,9438037936638.904,0,6,0.0,0.046875
49,14690,False,1.4559877408371575,3.085285281795864,0,0,0.0,0.0
50,14691,False,1.1655921739910944,3.2251172869045472,0,0,0.0,0.0
