sample_idx,pulse,ne_rmse,te_rmse
0,14517,1.2830590411634377e+19,446.82098388671875
1,14518,1.5080297854691967e+19,495.8489074707031
2,14519,1.829128522416993e+19,542.25244140625
3,14521,1.7307365253822022e+19,506.6099548339844
4,14522,1.6814843418206274e+19,492.7030944824219
5,14523,1.4705738223573795e+19,481.3951416015625
6,14525,1.7288034739894092e+19,461.0738525390625
7,14530,1.1425627856592437e+19,533.49560546875
8,14533,1.5617829298302353e+19,460.4598693847656
9,14547,1.2057531482726466e+19,484.36376953125
10,14548,1.5594997939351585e+19,485.8863830566406
11,14550,1.2777713797943001e+19,491.7407531738281
12,14558,1.031784900088719e+19,457.4643859863281
13,14561,1.201232726117371e+19,462.91961669921875
14,14569,9.32516922140079e+18,435.1561584472656
15,14575,9.776708960114442e+18,454.99993896484375
16,14581,1.6291205403524465e+19,530.3435668945312
17,14593,1.6606241873161355e+19,464.45318603515625
18,14600,1.1562327938250572e+19,513.4208374023438
19,14605,2.4453147397831262e+19,464.8548889160156
20,14614,1.0914013001560359e+19,462.2287902832031
21,14620,1.308177054446492e+19,449.9654846191406
22,14654,1.0314592247445717e+19,438.72113037109375
23,14664,8.941606789074387e+18,437.017578125
24,14690,1.2572448171176755e+19,468.9299011230469
25,14691,1.1911680165790351e+19,470.37939453125
