baseNode,RUN01,,,,,,,,,,,,,,,
Root node,,,,,,,,,,,,,,,,
Root info,,,,,,,,,,,,,,,,
Run name,RUN01,,,,,,,,,,,,,,,
runInfo,,,,,,,,,,,,,,,,
Script info,,,,,,,,,,,,,,,,
Script name,RUN01,,,,,,,,,,,,,,,
scriptNode,RUN01,,,,,,,,,,,,,,,
Tree,bda,,,,,,,,,,,,,,,
Run info,,,,,,,,,,,,,,,,
,,,,Data,,,Time,,,Dimension 1,,,Dimension 2,,,
Node,Node,Node,Data node,Node type,Data,Unit,Description,Data,Unit,Description,Data,Unit,Description,Data,Unit,Description
RUN01,,,,STRUCTURE,,,,,,,,,,,,
GLOBAL,,,,STRUCTURE,,,,,,,,,,,,
GLOBAL,,,NE0,SIGNAL,data['GLOBAL']['NE0'],1 / meter ** 3,Central electron density,,,,,,,,,
GLOBAL,,,NE0_ERR,SIGNAL,data['GLOBAL']['NE0_ERR'],dimensionless,Central electron density error,,,,,,,,,
GLOBAL,,,NI0,SIGNAL,data['GLOBAL']['NI0'],1 / meter ** 3,Central ion density,,,,,,,,,
GLOBAL,,,NI0Z1,SIGNAL,data['GLOBAL']['NI0Z1'],1 / meter ** 3,Central density of impurity Z1,,,,,,,,,
GLOBAL,,,NI0Z1_ERR,SIGNAL,data['GLOBAL']['NI0Z1_ERR'],1 / meter ** 3,Central density of impurity Z1 error,,,,,,,,,
GLOBAL,,,NI0Z2,SIGNAL,data['GLOBAL']['NI0Z2'],1 / meter ** 3,Central density of impurity Z2,,,,,,,,,
GLOBAL,,,NI0Z2_ERR,SIGNAL,data['GLOBAL']['NI0Z2_ERR'],1 / meter ** 3,Central density of impurity Z2 error,,,,,,,,,
GLOBAL,,,NI0Z3,SIGNAL,data['GLOBAL']['NI0Z3'],dimensionless,Central density of impurity Z3,,,,,,,,,
GLOBAL,,,NI0Z3_ERR,SIGNAL,data['GLOBAL']['NI0Z3_ERR'],dimensionless,Central density of impurity Z3 error,,,,,,,,,
GLOBAL,,,NI0_ERR,SIGNAL,data['GLOBAL']['NI0_ERR'],dimensionless,Central ion density error,,,,,,,,,
GLOBAL,,,PTH,SIGNAL,data['GLOBAL']['PTH'],pascal,Thermal pressure,,,,,,,,,
GLOBAL,,,PTH_ERR,SIGNAL,data['GLOBAL']['PTH_ERR'],pascal,Thermal pressure error,,,,,,,,,
GLOBAL,,,PTOT,SIGNAL,data['GLOBAL']['PTOT'],pascal,Total pressure,,,,,,,,,
GLOBAL,,,PTOT_ERR,SIGNAL,data['GLOBAL']['PTOT_ERR'],pascal,Total pressure error,,,,,,,,,
GLOBAL,,,TE0,SIGNAL,data['GLOBAL']['TE0'],eV,Central electron temperature,,,,,,,,,
GLOBAL,,,TE0_ERR,SIGNAL,data['GLOBAL']['TE0_ERR'],dimensionless,Central electron temperature error,,,,,,,,,
GLOBAL,,,TI0,SIGNAL,data['GLOBAL']['TI0'],eV,Central ion temperature of main ion,,,,,,,,,
GLOBAL,,,TI0Z1,SIGNAL,data['GLOBAL']['TI0Z1'],eV,Central ion temperature of impurity Z1,,,,,,,,,
GLOBAL,,,TI0Z1_ERR,SIGNAL,data['GLOBAL']['TI0Z1_ERR'],eV,Central ion temperature of impurity Z1 error,,,,,,,,,
GLOBAL,,,TI0Z2,SIGNAL,data['GLOBAL']['TI0Z2'],eV,Central ion temperature of impurity Z2,,,,,,,,,
GLOBAL,,,TI0Z2_ERR,SIGNAL,data['GLOBAL']['TI0Z2_ERR'],eV,Central ion temperature of impurity Z2 error,,,,,,,,,
GLOBAL,,,TI0Z3,SIGNAL,data['GLOBAL']['TI0Z3'],dimensionless,Central ion temperature of impurity Z3,,,,,,,,,
GLOBAL,,,TI0Z3_ERR,SIGNAL,data['GLOBAL']['TI0Z3_ERR'],dimensionless,Central ion temperature of impurity Z3 error,,,,,,,,,
GLOBAL,,,TI0_ERR,SIGNAL,data['GLOBAL']['TI0_ERR'],dimensionless,Central ion temperature of main ion error,,,,,,,,,
GLOBAL,,,WP,SIGNAL,data['GLOBAL']['WP'],J,Stored energy,,,,,,,,,
GLOBAL,,,WP_ERR,SIGNAL,data['GLOBAL']['WP_ERR'],J,Stored energy error,,,,,,,,,
GLOBAL,,,WTH,SIGNAL,data['GLOBAL']['WTH'],J,Thermal component of stored energy,,,,,,,,,
GLOBAL,,,WTH_ERR,SIGNAL,data['GLOBAL']['WTH_ERR'],J,Thermal component of stored energy error,,,,,,,,,
INPUT,,,,STRUCTURE,,,,,,,,,,,,
INPUT,WORKFLOW,,,STRUCTURE,,,,,,,,,,,,
INPUT,WORKFLOW,CXFF_PI,,STRUCTURE,,,,,,,,,,,,
INPUT,WORKFLOW,CXFF_PI,PULSE,NUMERIC,data['INPUT']['WORKFLOW']['CXFF_PI']['PULSE'],dimensionless,Pulse used for diagnostic,,,,,,,,,
